Investor ID,Name,Country of registration/origin,Classification,Investor homepage,Opencorporates link,Comment,Action comment
38140,Grupo de Propiedades Jalisco,Mexico,Private company,,,,
38143,Capstone - Kores,Chile,Private company,,,,
38145,Montana Exploradora de Guatemala S.A,Guatemala,Private company,,,,
38148,Multigrain S.A,Brazil,Private company,,,,
38149,PT Persada Dinamika Lestari,Indonesia,Private company,,,,
38150,PT Gunung Sejahtera Raman Permai,Indonesia,Private company,,,,
38151,PT Cakradenta Agung Pertiwi,Indonesia,Private company,,,,
38152,PT Tri Buana Mas,Indonesia,Private company,,,,
38153,SLC-MIT Empreendimentos Agrícolas Ltda S.A,Brazil,Private company,,,,
38161,China Modern Dairy Holdings Limited,China,Private company,,,,
38162,Suntime International,Cuba,Private company,,,,
38163,AGROIMSA,Mexico,Private company,,,,
38164,Plantaciones del Soconusco,Mexico,Private company,,,,
38166,Agropecuaria Arakatu Ltda.,Brazil,Private company,,,,
38167,Joint Venture Agropecuária Arakatu Ltda and Banco do Nordeste do Brasil S/A,Brazil,Private company,,,,
38168,Belém Bioenergia Brasil S.A,Brazil,Private company,,,,
38169,BSBIOS Marialva  Indústria e Comércio de Biodiesel Sul Brasil,Brazil,Private company,,,,
38170,"Helingeer Modern Farming Co., Ltd.",China,Private company,,,,
38171,Unknown (Nestlé S.A.),China,Private company,,,,
38172,"Unknown (China National Petroleum Corporation - CNPC, in Peru, 38172)",Peru,Private company,,,,
38173,Petrobras - Ecopetrol - INPEX,Peru,Private company,,,,
38174,Forestal Oriental S.A,Uruguay,Private company,,,,
38175,GMO Renewable Resources,Uruguay,Private company,,,,
38178,SLC Agrícola,Brazil,Private company,,,,
