Investor ID,Name,Country of registration/origin,Classification,Investor homepage,Opencorporates link,Comment,Action comment
2,Government of Bangladesh,Bangladesh,State-/government (owned) company,,,,
11,China Asean Resources Ltd.,"China, Hong Kong Special Administrative Region",Stock-exchange listed company,,,,
12,Agro Forestry Research,China,,,,,
14,Amira Nature Foods Ltd,United Arab Emirates,Stock-exchange listed company,,,,
18,Bigimexco,Vietnam,Private company,,,,
19,BNA (Cam) Corp,Republic of Korea,Private company,,,"Origingal data entry: BNA (Cam) Corp / deleted possible LINE BREAK at the end of investor name.

Company Address: National Road No 6, Kean Khlaing Village, 12112 Phnom Penh, Cambodia ",
20,"Bon Bon World Investments and Consulting Group Ltd., New York",United States of America,Investment fund,,,,
25,Carmadeno Venture Limited,India,,,,,
27,Central First Company,United States of America,,,,,
28,China National Corporation for Overseas Economic Cooperation Laod Star Development,China,,,,,
31,CIV Development Company,Vietnam,Private company,,,,
35,Doty Saigon-Binh Phouc (SBK),,,,,,
37,Fortuna Plantation (Cambodia) Limited,Malaysia,,,,,
42,Global Tech Sdn.,Malaysia,Private company,,,,
43,Gold Foison (Cambodia) A/C Import Export & Construction Co Ltd,Cambodia,Private company,,,There seems to be a Chinese or Vietnamese investor or parent company behind Gold Foison.,
44,"Golden Land Development Co., Ltd",China,Private company,,,,
46,Hanwha Group,Republic of Korea,Private company,,,,
62,Indochina Gateway Capital Limited,Australia,Investment fund,,,,
66,Kapa Ltd,Republic of Korea,Private company,,,,
71,Kuwait China Investment Company (KCIC),Kuwait,Stock-exchange listed company,,,,
79,Men Sarun Co. Ltd.,Cambodia,Private company,,,,
85,Oryung Construction,Republic of Korea,,,,,
97,River Sugarcane,Thailand,,,,,
102,HLH Group Limited,Singapore,Stock-exchange listed company,,,,
112,TTY Industrial Crops Development Import-Export,Cambodia,Private company,,,,
116,VANNMA Import-Export Co.; Ltd,Cambodia,,,,,
117,Vietnam Rubber Group,Vietnam,Semi state-owned company,,,More than 50%. See http://www.vnrubbergroup.com/en/member_list_ownership.php?id=50,
119,Wuzhishan L.S Group,China,Private company,,,,
124,Unnamed investor 12,Qatar,State-/government (owned) company,,,,
129,Kimsville Corp.,,Private company,,,,
130,Cambo Victor Investing and Developing Co. Ltd.,,Private company,,,,
131,Real Green Co. Ltd.,Thailand,Private company,,,,
138,Asahi Breweries Ltd,Japan,,,,,
139,Itochu Corp,Japan,Private company,,,"Additional investors: - Bioethanol and Energy Investments Corp.
- GCO
Domestic Partner: EcoFund Land Development Inc.

",
140,Sumitomo Chemical Company Ltd.,Japan,Private company,,,,
142,Fonterra Co-operative Group Limited,New Zealand,Private company,,,,
143,Wilmar International Ltd,Singapore,Stock-exchange listed company,,,"Shareholders and banks are the most important financial
stakeholders of Wilmar International. Shareholders finance 35.6 percent of the Wilmar’s assets. A large amount of the shares of the
company are held by a few major shareholders, including the Kuok Group and the American commodity trader Archer Daniel Midlands,
which holds 18.1 percent of the shares in Wilmar through its wholly owned subsidiaries ADM Asia Pacific, ADM Ag Holding and Global Cocoa Holdings. Other major investors in Wilmar International include the investment management firms BlackRock, Vanguard, T. Rowe Price and Van Eck Associates. At the end of 2014, bank loans financed 50.4 percent of Wilmar’s
assets, largely through short-term trading loans.",
146,Cargill,United States of America,Private company,,,36 societies were created between 2010 and 2012 (with the same legal responsible) but were bought by Cargill in 2012. This strategy were built for the same lawyer buffet to avoid the farm land grabbing to Ripaila S.A,
147,Stora Enso,Finland,Stock-exchange listed company,,,,
148,Government of China,China,State-/government (owned) company,,,,
157,Chaoda Modern Agriculture (Holdings) Limited,China,Stock-exchange listed company,,,The company is listed on the Hong Kong stock exchange,
160,China Huiyuan Juice Group Ltd,China,Stock-exchange listed company,,,"The company is listed on the Hong Kong stock exchange
Suntory and Yeo Hiap Seng Limited is now a shareholder of the secondary investor but it is not indicate how much are the stocks that they hold; only that both of the companies has a 50:50 share of a specific joint venture agreement.",
162,GTLeste Biotech,Indonesia,Private company,,,,
163,Southern Online Bio Technologies Ltd.,India,Stock-exchange listed company,,,,
164,United Infrastructure Pvt Ltd,India,Private company,,,,
167,Sinopec,China,State-/government (owned) company,,,,
168,Bolloré Group,France,Private company,,,"Through subsidiary SAFA. SAFACAM is owned by 69% by Socfinaf; Socfinaf is owned by 59% by SOCFIN; Bolloré group owns 38,7 % of SOCFIN.",
169,Mellori Group,Italy,,,,,
170,NEOS Resources PLC,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,"formerly named D1 Oils plc
D1-Mohan Bio Oils Ltd. Is a joint venture (at 50:50) between D1 Oils plc, a UK-based
multinational company, and Chennai-based Mohan Breweries & Distilleries Limited. (http://
www.d1plc.com/",
173,Sinar Mas Group,Indonesia,Private company,,,Golden Agri Resources is a subsidiary of Sinar Mas Group,
177,Bunge Ltd,United States of America,Stock-exchange listed company,,,,
178,KS Oils Ltd,India,Stock-exchange listed company,,,KS Oils Ltd invested in Indonesia through its subsidiary KS Natural Resources Pvt Ltd (KSNR) (Singapore),
182,Nonghyup Feed Inc.,Republic of Korea,Private company,,,,
189,BHP  Billiton,Australia,Stock-exchange listed company,,,,
197,Rajawali Group,Indonesia,Private company,,,,
199,PT Perkebunan Nusantara XIII (Persero) (PTPN  XIII),Indonesia,State-/government (owned) company,,,,
201,Sime Darby,Malaysia,Stock-exchange listed company,,,,
202,First Resources,Singapore,Stock-exchange listed company,,,,
204,Golden Agri-Resources Ltd (GAR),Singapore,Stock-exchange listed company,,,"Flamengo International, the holding for the Widjaja Family of Indonesia, owns 50% of GAR.",
208,Kuala Lumpur Kepong Berhad (KLK),Malaysia,Stock-exchange listed company,,,"Its subsidiary are PT Sekarbumi Alam Lestari, PT Langkat Nusantara Kepong, KLK Bioenergy Sdn Bhd.",
210,PT Astra Agro Lestari Tbk,Indonesia,Stock-exchange listed company,,,,
211,Noble Group,"China, Hong Kong Special Administrative Region",Stock-exchange listed company,,,,
220,"Suntime International Techno-Economic Cooperation (Group) Co., Ltd.",China,Stock-exchange listed company,,,operates under the control of the Xinjiang Production and Construction Corp and is one its main international business arms,
222,Dexion Capital,United Kingdom of Great Britain and Northern Ireland,,,,"via Global Farming Ltd, which should ""own and manage farms"" (http://farmlandgrab.org/post/view/2405-farming-lures-more-managers-as-dexion-prepares-270-million-fund-raising#sthash.ny6xzhYX.dpuf )",
223,Toyota Tshusho Corp,Japan,Stock-exchange listed company,,,,
224,Saudi Company for Agricultural Investment and Animal Production,Saudi Arabia,Semi state-owned company,,,,
226,Altimo one world agricultural fund,United States of America,Investment fund,,,,
227,International Finance Corporation,United States of America,,,,"International financial institution. Headquarters: Washington, D.C., United States. ",
228,Noor company,"Egypt, Arab Rep.",,,,,
229,I K Company,United Kingdom of Great Britain and Northern Ireland,,,,private company ,
230,Widam Food Company Q.S.C.,Qatar,Stock-exchange listed company,,, formerly Qatar Company For Meat and Livestock Trading QSC (Mawashi),
231,Hawkar,,,,,,
232,Shiwa Company,,,,,,
234,Aditya Birla Group,India,Private company,,,"Grasim Industries Limited (India), Thai Rayon Public Co. Ltd. (Thailand) and PT Indo Bharat Rayon (Indonesia), which belong to the Aditya Birla Group, form the equity holders in BLPP. ",
235,Agarwood Lao Group Co. Ltd.,China,,,,,Added country origin
236,Ari Construction and Building Repairment Co,China,,,,,
239,Cherchanghang Co,China,,,,,
242,Crapkin Agriculture Co Ltd,Republic of Korea,,,,,
243,Dac Lac Rubber Co,Vietnam,State-/government (owned) company,,,,
247,GO Crapkin Co Ltd,Republic of Korea,,,,,
252,Heurnmao Rubber Co,China,,,,,
253,Hoang Anh Gia Lai (HAGL),Vietnam,Stock-exchange listed company,,,Hoang Anh Gia Lai claims that it is not one shareholder of Binh Ha (See vietnamese source http://www.hagl.com.vn/Group_Posts/DetailPost/20160415185008508),
254,Industrial and Agricultural Development for Import-Export,United States of America,,,,,
255,Mengla Jinggu Trading Co.,China,,,,,
257,Kaosouyaotiang Viet-Lao Company,Vietnam,,,,Kaosouyaotiang Viet-Lao Company is a partnership of three Vietnamese companies.,
258,Khanxay Agriculture Development Co. Ltd.,Thailand,,,,,
260,KV Import-Export Co. Ltd.,Malaysia,,,,,
261,Lakorea Co.,Republic of Korea,,,,,
269,Lao Mithsamphan Farm,,,,,It is not possible to identify the nationality of this investor. The investor seems to be a joint venture between investors from Laos and China.,
274,Mitr Phol Group,Thailand,Private company,,,"formerly known as ""Mitr Phol Sugar Corporation""",
275,Mr Chang Hwan Choi,Republic of Korea,Individual entrepreneur,,,,
276,Mr Lai Vanthong,China,Individual entrepreneur,,,,
278,Oji Paper Co Ltd,Japan,Stock-exchange listed company,,,"The shareholding of QPFL is slightly different (Quy Nhon Plantation Forest Ltd). This JV
is a joint investment between Japanese Oji Paper (51%), Nissho Iwai (now Sojitz) (39%)
and Dai Nippon Printing (10%). ",
281,Rafarm Agriculture Development Co.,China,,,,,
282,Thien Loui Ye Co Ltd,China,,,,,
283,Tongtheun Lao-China Agriculture Development,China,,,,,
287,Wanxouane Ngouane Thanghai Co,Vietnam,,,,,
296,Yongfong Xeun Co,China,,,,,
297,Yongfongxeun Industrial Wood Plantation Co. Ltd.,China,,,,,
298,Yunnan Agricultural Plantation Group Co Ltd,China,State-/government (owned) company,,,,
299,ZTE,China,Stock-exchange listed company,,,,
300,Mission NewEnergy Limited,Australia,Stock-exchange listed company,,,,
304,Tian Yida Group,China,Private company,,,,
306,Samling Global Ltd.,Malaysia,Stock-exchange listed company,,,Acts through a subsidiary called Malaysia Prestige Plantation,
308,Qatar Investment Authority (QIA),Qatar,State-/government (owned) company,,,Hassad Food is owned and was established by the Qatar Investment Authority (QIA).,
309,1Malaysia Development Berhad (1MDB),Malaysia,State-/government (owned) company,,,,
315,Shin Yang Holding,Malaysia,Private company,,,,
316,RH Forest Corporation Sdn. Bhd.,Malaysia,Private company,,,,
317,Rimbunan Hijau Group,Malaysia,Private company,http://rhg.com.my/rhg_v2/en/group-structure/,,,
321,Ekran Berhad,Malaysia,Private company,,,,
323,Ta Ann Group,Malaysia,Stock-exchange listed company,,,,
326,BFP International (Biofuel Projects International),Netherlands,Private company,,,,
328,FACE Foundation,Netherlands,Investment fund,,,NGO,
330,Kulim (Malaysia) Berhad,Malaysia,Stock-exchange listed company,,,,
337,Solvent Extractors’ Association of India,India,Other (please specify in comment field),,,Body of over 800 companies,
339,Kuwait Investment Authority (KIA),Kuwait,State-/government (owned) company,,,30.64%,
340,Kuwait Fund For Arab Economic Development,Kuwait,State-/government (owned) company,,,,
341,Kuwait Petroleum Corporation,Kuwait,State-/government (owned) company,,,,
342,Government of Myanmar,Myanmar,State-/government (owned) company,,,,
343,Government of Thailand,Thailand,State-/government (owned) company,,,,
346,Al Dahra Agricultural Company,United Arab Emirates,Private company,,,,
348,The Abraaj Group,United Arab Emirates,Investment fund,,,,
349,Abu Dhabi Group,United Arab Emirates,,,,,
350,Al Qudra Holding,United Arab Emirates,Stock-exchange listed company,,,,
351,Emirates Investments Group LLC,United Arab Emirates,Investment fund,,,Emirates Investments Group LLC is an investment company based in the United Arab Emirates with interests in the Middle East and Asia Pacific regions. The dynamic investment Group sources unique business development opportunities and works closely with established companies through partnerships (EIG website),
358,Shaikh Zaid Bib Nahyan of Abu Dhabi,United Arab Emirates,,,,,
367,TRAFCO,Bahrain,,,,private investor ,
368,Kijani Energy Canada,Canada,,,,,
371,Pan Energy Developing Company (PEDCO),Republic of Korea,,,,,
372,Bin Daen Group of Dubai,United Arab Emirates,,,,,
374,Engro Corporation,Pakistan,Stock-exchange listed company,,,"formerly known as ""Engro Chemicals""",
376,Qatar Investment Authority,Qatar,State-/government (owned) company,,,"Sovereign wealth fund
Through its investment arm ""Hassad Food""",
378,Widam Food,Qatar,Private company,,,To be renamed Widam Food Company,
381,Al Rabie,Saudi Arabia,,,,Al Rabie Saudi Foods Co.  Ltd. ,
392,Nader & Ebrahim S/O Hassan,Bahrain,Private company,,,,
395,Hassan Group,Bahrain,Private company,,,,
400,TVI Pacific Inc.,Canada,,,,,
401,Agricultural Department of the Guangxi Zuang Autonomous Region (ADGZAR),China,State-/government (owned) company,,,,
402,China CAMC Engineering Co. Ltd.,China,Stock-exchange listed company,,,"China CAMC Engineering Co., Ltd. (referred to as ""CAMC""), a subsidiary of China National Machinery Industry Corporation.
Also called China National Constructional and Agricultural Machinery Import and Export Corp.",
403,Eastern Petroleum Corporation,Philippines,Private company,,,,
406,Guangdong Academy of Agricultural Sciences,China,State-/government (owned) company,,,,
407,Guangdong Guangyan Fishery Group Co. Ltd.,China,Private company,,,,
411,Regional Government of Jilin,China,State-/government (owned) company,,,,
412,China Development Bank,China,State-/government (owned) company,,,,
413,Jilin Fuhua Agricultural Science and Technology Development Co. Ltd.,China,Private company,,,,
419,D1 Oils PLC,United Kingdom of Great Britain and Northern Ireland,Private company,,,"D1 Oils changed name to ""NEOS Resources Plc"" in March 2012. ",
420,NRG Chemicals,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,,
421,Pacific Bio-Fields Corp,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,,
424,GCO,China,Investment fund,,,,
425,Mitsubishi Corp.,Japan,Stock-exchange listed company,,,http://eng.binhduong.gov.vn/en/sobannganh_detail.php?id=7777&idcat=4538&idcat2=159,
432,Jeonnam Feedstock Ltd.,Republic of Korea,State-/government (owned) company,,,,
437,San Miguel Corp.,Philippines,Stock-exchange listed company,,,,
438,Kuok Group,Malaysia,Private company,,,,
439,Nickel Asia Corp.,Philippines,Private company,,,Mitsui is also an investor,
441,AgriNurture Inc. (ANI),Philippines,Stock-exchange listed company,,,"In 2011 Black River Capital Partners Food Fund Holdings Pte. Ltd., a wholly owned subsidiary of Black River Capital Partners Fund LP, a fund managed by the private equity arm of Cargill, has acquired a 28.11% stake in AgriNurture, Inc. (ANI).",
442,Far East Agricultural Investment Co,Saudi Arabia,Private company,,,,
448,Tabuk Agricultural Development Company (TADCO),Saudi Arabia,Private company,,,,
453,Bronzeoak,United Kingdom of Great Britain and Northern Ireland,Private company,,,,
456,Central Luzon Bioenergy Corp.,Philippines,Private company,,,,
459,Eco Global Bio Oils,Republic of Korea,Private company,,,,
461,Herminio Teves Company Inc,Philippines,Private company,,,Herminio Teves was a representative in the Congress of the Philippines.,
462,Highlands Development Cooperative,Philippines,Private company,,,,
463,Leyte Agri Corporation,Philippines,Private company,,,,
464,OceanaGold Corporation,Australia,Stock-exchange listed company,,,,
467,Curcas Energy Australia,Australia,Private company,,,,
478,Biosystems Co. Ltd,Republic of Korea,Private company,,,,
480,City Government of Taguig,Philippines,State-/government (owned) company,,,,
486,Al Salam Bank-Bahrain (B.S.C.),Bahrain,Investment fund,,,,
492,Government of Kuwait,Kuwait,State-/government (owned) company,,,,
495,Ruam Jai Chao Nah (Uniting Farmers),Saudi Arabia,Private company,,,"the ""investor"" is not purely Saudi Arabian - it is a joint farming project between Saudi Arabian investors and Thai farmers",
496,University of Kasetsart,Thailand,State-/government (owned) company,,,,
497,Viengsa Agricultural Co-operative,Thailand,,,,The Viengsa Agricultural Co-operative is an association of farmers,
498,Charoen Pokphand,Thailand,Stock-exchange listed company,,,,
505,Planet Food World (PFWC),Saudi Arabia,Private company,,,,
507,Saudi Fund for Development,Saudi Arabia,Investment fund,,,Part of Saudi fund for development $566m investment vehicle for buying land abroad.,
508,Unnamed investor 106,Saudi Arabia,Private company,,,Société saoudienne,
515,Forest Returns,Netherlands,Private company,,,,
517,More Trees Consultancy,Netherlands,Private company,,,,
519,Luveco,China,Private company,,,"belongs to the Northern Food Corporation, is a joint-stock company, with 55% of its capital belonging to ist Chinese partner and 45% belonging to the state",
520,Vietnamese State,Vietnam,State-/government (owned) company,,,,
523,Tan Mai Paper Company,Vietnam,State-/government (owned) company,,,,
526,Sojitz Group,Japan,Stock-exchange listed company,,,See http://www.longduc-ip.com/en/outline/index.html,
529,Honda,Japan,State-/government (owned) company,,,,
530,Vinacomin,Vietnam,State-/government (owned) company,,,,
532,Abu Dhabi Fund for Development,United Arab Emirates,State-/government (owned) company,,,,
540,Unnamed investor 109,India,,,,,
541,Mundra Port and Special Economic Zone Ltd. (MPSEZL),India,Private company,,,,
542,Adani Power Private Ltd,India,Private company,,,,
543,Bharat Forge Ltd,India,Stock-exchange listed company,,,"The SEZ will be set up through the special purpose vehicle in which Bharat Forge will have 74 per cent stake. The state government will hold 24 per cent equity through its industrial infrastructure arm, Maharashtra Industrial Development Corporation (MIDC). ",
549,Indiabulls Infrastructure,India,Private company,,,,
550,Karnataka Industrial Areas Development Board (KIADB),India,State-/government (owned) company,,,,
551,JSW Steel,India,Private company,,,,
557,Maharashtra Industrial Development Corporation Ltd,India,State-/government (owned) company,,,It will not bring in any cash and instead will offer land and other infrastructure facilities. ,
558,Mahindra Reality developers,India,,,,,
562,Pondicherry SEZ Co Ltd,India,,,,,
564,Reliance Infrastructure Ltd,India,Stock-exchange listed company,,,Subsidiary of privately held Reliance Anil Dhirubhai Ambani Group,
567,SKIL Infrastructure Limited,India,Stock-exchange listed company,,,Formerly known as Horizon Infrastructure Limited,
568,Tata Steel ltd,India,,,,,
571,Videocon Industries Limited,India,Stock-exchange listed company,,,,
573,POSCO,Republic of Korea,Stock-exchange listed company,,,"Korean steel giant Posco bought a 68% controlling share of Daewoo International Corp. Daewoo International Corp bought an 85% stake in PT Bio Inti Agrindo. And PT Bio Inti Agrindo has obtained permissions to develop a 40,000 hectare oil palm plantation in Merauke.",
576,Clenergen Corporation,United States of America,Stock-exchange listed company,,,,
579,Andhra Pradesh Industrial Infrastructure Corporation Ltd. (APIIC),India,State-/government (owned) company,,,,
580,GMR Group,India,Private company,,,,
581,"PepsiCo, Inc.",United States of America,Stock-exchange listed company,,,,
586,Rajasthan Industrial Development Corporation (RIICO),India,State-/government (owned) company,,,,
595,Nandan Cleantec PLC,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,"see Nandan's Annual Report 2012/13, p. 32",
596,Bharat Petroleum Corporation Ltd,India,Private company,,,,
597,Shapoorji Pallonji Corporation Ltd,India,Private company,,,,
598,Karuturi Global Ltd.,India,Stock-exchange listed company,,,,updated.
599,Jayaswal Neco Industries Limited (JNIL),India,Stock-exchange listed company,,,,
600,Monnet Ispat & Energy Ltd.,India,Stock-exchange listed company,,,,
601,Sarda Energy & Minerals Ltd,India,Stock-exchange listed company,,,"the company was formerly known as ""Raipur Alloys & Steels Limited""",
605,Brandix Lanka Limited,Sri Lanka,Private company,,,,
607,MAS Holdings,Sri Lanka,Private company,,,,
608,IFFCO Kisan SEZ Limited.,India,Private company,,,,
609,Rassai Properties & Industries Limited,India,Private company,,,,
613,Krishnapatnam Infratech Pvt. Ltd.,,Private company,,,,
614,Dahej SEZ Ltd. (M/s. Gujarat Industrial Development Corpn.),,Private company,,,,
615,Cadila Pharmaceuticals Limited,India,Private company,,,,
618,Chervil Infrastructure Private Limited,India,Private company,,,,
622,Sinima Meadows Limited,,,,,,
628,Marathon Pachin Infrastructure,,,,,,
634,State Industrial Development Corporation of Uttaranchal Ltd,India,State-/government (owned) company,,,,
647,KRAM S.A.,Mexico,,,,,
648,Ted Turner,United States of America,Individual entrepreneur,,,,
651,Glencore Xstrata PLC,Switzerland,Stock-exchange listed company,,,Glencore Xstrata PLC was created in May 2013 through the merger of Glencore with Xstrata.,
652,Beidahuang,China,State-/government (owned) company,,,,
656,AgroGeneration,France,Stock-exchange listed company,,,"In 2013, AgroGeneration merged with Harmelia. Harmelia was owned by the international investment fund SigmaBleyzer Fund IV (SBF IV) (managed by SigmaBleyzer Investment Group LLC based in Houston, Texas). For the transfer of 100% of the Harmelia shares, Konkur Investments Limited (holding company owned by SBF IV) received 57,264,394 new AgroGeneration shares (a 62% stake).",
657,Pergam Finance,France,Investment fund,,,"Founded in 2005 by PERGAM Finance, Campos Orientales owns and operates nearly 45,000 hectares of farmland in Uruguay and Argentina (4 farms in Uruguay)",
661,Alkhorayef Group,Saudi Arabia,Private company,,,,
662,Adecoagro S.A.,Luxembourg,Stock-exchange listed company,,,,
669,COMIBOL (Corporación Minera de Bolivia),Bolivia,State-/government (owned) company,,,,
670,Korea Resources Corporation (Kores),Republic of Korea,State-/government (owned) company,,,,
673,"Shanghai Pengxin Group Co., Ltd",China,Private company,,,,
674,Macquarie Group Ltd,Australia,Investment fund,,,,
678,Chongqing Grain Group,China,State-/government (owned) company,,,,
679,Afirma/Quabit Inmobiliaria SA,Spain,Private company,,,,
681,Louis Dreyfus Group,Netherlands,Private company,,,another part is Sistema JFSK,
682,Mitsui,Japan,Stock-exchange listed company,,,(49.9%),
694,Shree Renuka Sugars,India,Private company,,,,
696,Archer Daniels Midland Co.,United States of America,Private company,,,,
697,Biogreen Oil B.V.,Netherlands,Private company,,,,
698,Plant a. Bio,Brazil,Private company,,,,
699,Floresteca Holding N.V.,Netherlands,Private company,,,,
706,Monaxxion,China,Investment fund,,,,
707,Walton International Group Inc.,United States of America,Investment fund,,,,
711,Aceites Borges,Spain,Private company,,,,
713,Grupo Torres,Spain,Private company,,,,
720,Ecopetrol,Colombia,State-/government (owned) company,,,The operator is SAVIA Peru.,
725,Muriel Mining Corporation (MMC),United States of America,Private company,,,,
727,AngloGold Ashanti,South Africa,Stock-exchange listed company,,,,
737,"Barcelo' (22 hoteles), Occidental (12), Riu (10), Iberostar (6), Sol Melia' (4)",Spain,,,,,
740,Repsol,Spain,Private company,,,,
766,Government of Mexico,Mexico,State-/government (owned) company,,,,
767,Global Clean Energy Holdings Inc. (GCEH),United States of America,Private company,,,,
776,Yaguarete Pora SA,Brazil,Private company,,,,
777,Global Farming Limited,United Kingdom of Great Britain and Northern Ireland,,,,,
778,RCPL Food Processing Pvt. LTDA.,India,,,,,
785,State Trading Corporation,India,State-/government (owned) company,,,,
806,Grupo Romero,Peru,Private company,,,,
814,DOE RUN PERU S.R.L.,United States of America,Private company,,,,
815,Monterrico Metals,United Kingdom of Great Britain and Northern Ireland,Private company,,,,
819,Pluspetrol,Argentina,Private company,,,,
821,Eco América,"Korea, Dem. People's Rep.",Private company,,,,
822,"Van der Staaij Barendrecht B.V., Barendrecht",Netherlands,Private company,,,,
823,Los Grobo,Argentina,,,,,
831,Alberta Investment Management Corp (AIMCo),Canada,Investment fund,,,,
832,The Australia New Zealand Forest Fund,Australia,Investment fund,,,,
839,ELANA Agricultural Land Opportunity Fund (ELARG),Bulgaria,Investment fund,,,"a.k.a. ""ELARG Agricultural Land Opportunity Fund""",
840,Karoll Financial Group,Bulgaria,,,,,
841,Palmer Capital,Germany,,,,,
842,Bidwells,United Kingdom of Great Britain and Northern Ireland,,,,,
845,KTG Agrar,Germany,Private company,,,"KTG Agrar sold 100% shares to  AUGA Group AB(Agrowill) Lithuania(UAB „Baltic Champs Group“(Lithuania) – 51,56%, „Volemer Holdings Limited“(Cyprus) – 15,89%, „Vretola Holdings Limited“(Cyprus) – 14,68%.",
848,Agria,China,Private company,,,,
849,Bright Dairy and  Food Group,China,State-/government (owned) company,,,,
851,Ingleby,Denmark,,,,,
852,Unnamed investor 135,Sweden,,,,,
853,Natural Dairy NZ,New Zealand,,,,,
854,Unnamed investor 136,"China, Hong Kong Special Administrative Region",,,,,
856,Harvard University,United States of America,Other (please specify in comment field),,,Non profit organization ,
857,Origin,Ireland,,,,,
858,Rolnyvik,Poland,,,,,
859,Unnamed investor 137,Sweden,,,,,
865,Schroders Plc,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,,
867,Miro Holdings International,United Kingdom of Great Britain and Northern Ireland,Investment fund,,,,
868,Government of Heilongjiang Province,China,State-/government (owned) company,,,Mudanjiang (city in the Heilongjiang Province),
870,Trigon Agri,Denmark,Stock-exchange listed company,,,,
872,private investors,"Iran, Islamic Rep.",Investment fund,,,,
874,Hyundai Heavy Industries,Republic of Korea,Stock-exchange listed company,,,,
875,Agrowill Group AB,Lithuania,Stock-exchange listed company,,,,
876,Grain Company Nastyusha,Russian Federation,Private company,,,"registered full name: ""Obshchestvo s Ogranichennoi Otvetstvennostyu Zernovaya Kompaniya Nastyusha OOO (Общество с Ограниченной Ответственностью Зерновая Компания Настюша ООО)""",
877,Agrokultura AB,Sweden,Stock-exchange listed company,,,Previously called Alpcot Agro AB,
882,Inteko,Russian Federation,Private company,,,,
883,OJSC Pava,Russian Federation,Stock-exchange listed company,,,,
886,Razgulay Group,Russian Federation,Stock-exchange listed company,,,,
889,Unnamed investor 141,China,,,,,
891,Government of Egypt,"Egypt, Arab Rep.",State-/government (owned) company,,,,
895,European Bank for Reconstruction and Development,,Investment fund,,,,
902,"JSC ""TAS Group""",Ukraine,Private company,,,without investments from swedish company,
908,Kernel Holding S.A.,Luxembourg,Stock-exchange listed company,,,"Andriy Verevskyi is the Major Equity Holder.
It is a second or third the Secondary investor for this company.",
909,MCB Agricole,Austria,Stock-exchange listed company,,,,
913,Olmedo Agropecuaria S.A.,Argentina,Private company,,,,
915,Infinita Renovable,Spain,Private company,,,,
916,El Tejar Ltd.,Argentina,Private company,,,,
917,Oleoflores,Colombia,Private company,,,,
918,Odin Energy Santa Marta Corporation S.A.,Panama,Stock-exchange listed company,,https://opencorporates.com/companies/pa/563803,"Odin Energy Santa Marta Corporation entails a special case and it might be a case of fraud, according to a consultant who writes for Forbes. This company was first listed in New York and belonged to Amiworld. It was a Japanese-American company whose president was Mamaru Saito. After several legal problems with the stockholders, the company was listed in Panama. They started the investment in Santa Marta, Colombia in 2007 and in 2012 they went bankrupt. The company was sold to Green River Technologies. In 2015, the company was intended to be sold to Palmabio SAS and Voltaje Empresarial SAS, both Colombian companies.

Sources:

http://www.supervalores.gob.pa/attachments/article/4350/Odin_Energy_suscripcion_convenio_22082012.pdf
http://www.odinenergia.com/bg-files/acuerdo-final-energy-odin-grupo-de-energia-marzo-4.pdf
http://www.sic.gov.co/sites/default/files/files/15-161058_VOLTAJE_PALMABIO_ODIN.pdf",
928,Pure Biofuels,United States of America,Private company,,,,
929,Samoa Fiber Holdings Inc.,United States of America,Private company,,,,
931,Agri SA,South Africa,Other (please specify in comment field),,,Commercial farmers organisation,
932,Ridge Solutions,Angola,Private company,,,,
933,Petrobras,Brazil,Semi state-owned company,,,,
935,Lonrho Plc,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,Through Lonrho Agriculture,
936,ENI,Italy,Stock-exchange listed company,,,30% of ENI is owned by the Italian Government.,
937,Gleinol,Portugal,Private company,,,,
938,Quifel Holdings,Portugal,Private company,,,"Quifel International Holdings (QIH) is the Lisbon-based 
personal holding of businessman Eng. Miguel Pais do Amaral, a Portuguese aristocrat and
 businessman.",
939,Chiquita Brands,United States of America,Stock-exchange listed company,,,,
944,Atlantica Group,Portugal,Private company,,,AfriAgro is the subsidiary of Atlantica Group,
946,SOCFIN,Luxembourg,Stock-exchange listed company,,,"Bolloré owns 38,7% of socfin.Bolloré group is a main shareholder. Vincent Bolloré remains very active in the strategic choices on the company. Hubert Fabri also has a controlling interest in the company. ",
953,Complant,China,Private company,,,,
955,Green Waves,Italy,,,,,
956,Libyan African Investment Portfolio,Libya,State-/government (owned) company,,,"The Libyan African Investment Portfolio is an asset of the Libyan Investment Authority (LIA), Libya’s sovereign wealth fund. The LIA was created by Safi Gaddafi in 2006.",
957,Betexco,Nigeria,,,,,
958,Agritech,Singapore,Private company,,,,
964,Biocarburant SA (MBSA),Netherlands,Private company,,,,
967,Olam International Ltd.,Singapore,Stock-exchange listed company,,,75% of Rusmolco,
969,ADERCI,Côte d'Ivoire,,,, ADERCI has started the promotion of bioenergies in Côte d’Ivoire by creating some promotion centres in Toumodi (Central Ivory Coast) through the creation of an experimental plantation of 500 ha for jatropha and castor oil plant.,
972,Randgold Resources,United Kingdom of Great Britain and Northern Ireland,Stock-exchange listed company,,,,
