Investor ID Downstream,Investor Name Downstream,Investor ID Upstream,Investor Name Upstream,Relation type,Investment type,Ownership share,Loan amount,Loan currency,Loan date,Comment
40597,Letychiv Agro LLC,40517,Bio Verde LLC,Parent company,,,,,,
40598,Agro-Maidan LLC,40517,Bio Verde LLC,Parent company,,,,,,
40599,NAP II Holdings B. V.,3521,NCH Capital Inc.,Parent company,,,,,,
40600,New Agro Podillya LLC,40599,NAP II Holdings B. V.,Parent company,,,,,,
40510,United Farmers Holding Company LLC,4979,Almarai,Parent company,,,,,,
40510,United Farmers Holding Company LLC,40508,Saudi Grain and Fodder Holding Co. LC,Parent company,,,,,,
40511,KRMG (Ukraine) Ltd.,38245,Continental Farmers Group plc,Parent company,,,,,,
40604,Agrofirm Progres-V LLC,40590,Ray Agro LLC,Parent company,,,,,,
40605,Promin Podillya LLC,40590,Ray Agro LLC,Parent company,,,,,,
40606,A.T.S. Ukraine Property Development Limited,3521,NCH Capital Inc.,Parent company,,,,,,
40607,Bio Kray LLC,40606,A.T.S. Ukraine Property Development Limited,Parent company,,,,,,
39784,Obodivka-Agro LLC,40607,Bio Kray LLC,Parent company,,,,,,
40026,Bilopillia Agro LLC,40517,Bio Verde LLC,Parent company,,,,,,
40608,Unagro Finance Limited,3521,NCH Capital Inc.,Parent company,,,,,,
40610,Zolotyi svitanok (Agro) LLC,40608,Unagro Finance Limited,Parent company,,,,,,
40610,Zolotyi svitanok (Agro) LLC,40609,LU Invest,Parent company,,,,,,
40031,Charivna Nyva LLC,40590,Ray Agro LLC,Parent company,,,,,,
40032,Orativlatinvest LLC,40590,Ray Agro LLC,Parent company,,,,,,
40033,Podillyalatinvest LLC,40590,Ray Agro LLC,Parent company,,,,,,
40046,Nemyrivlatinvest LLC,40590,Ray Agro LLC,Parent company,,,,,,
40054,Kurland LLC,40517,Bio Verde LLC,Parent company,,,,,,
40055,Krasne-Agroinvest LLC,40517,Bio Verde LLC,Parent company,,,,,,
40056,Agro Balt LLC,40517,Bio Verde LLC,Parent company,,,,,,
40612,Green Timber,40611,Unknown (Green Timbers),Parent company,,,,,,
