Investor ID Downstream,Investor Name Downstream,Investor ID Upstream,Investor Name Upstream,Relation type,Investment type,Ownership share,Loan amount,Loan currency,Loan date,Comment
35351,Goldcorp Inc,3021,GoldCorp Inc,Parent company,,,,,,
35358,Unknown (KRAM S.A.),647,KRAM S.A.,Parent company,,,,,,
35366,MCC Minera Sierra Grande S.A,3106,China Metallurgical Group (CMG),Parent company,,,,,,
35366,MCC Minera Sierra Grande S.A,3107,A Grade Trading Ltda,Parent company,,,,,,
35411,Unknown (Monaxxion),706,Monaxxion,Parent company,,,,,,
35412,Unknown (Walton International Group Inc.),707,Walton International Group Inc.,Parent company,,,,,,
35437,"Unknown (Barcelo' (22 hoteles), Occidental (12), Riu (10), Iberostar (6), Sol Melia' (4))",737,"Barcelo' (22 hoteles), Occidental (12), Riu (10), Iberostar (6), Sol Melia' (4)",Parent company,,,,,,
35473,Unknown (Global Farming Limited),777,Global Farming Limited,Parent company,,,,,,
35474,Unknown (RCPL Food Processing Pvt. LTDA.),778,RCPL Food Processing Pvt. LTDA.,Parent company,,,,,,
35475,Unknown (Solvent Extractors Association),337,Solvent Extractors’ Association of India,Parent company,,,,,,
35481,Unknown (State Trading Corporation),785,State Trading Corporation,Parent company,,,,,,
35482,Minera Huaquillas S.A.C,3002,Inca One Resources Corp,Parent company,,,,,,
35509,Unknown (DOE RUN PERU S.R.L.),814,DOE RUN PERU S.R.L.,Parent company,,,,,,
35515,"Unknown (Van der Staaij Barendrecht B.V., Barendrecht)",822,"Van der Staaij Barendrecht B.V., Barendrecht",Parent company,,,,,,
35516,Unknown (Los Grobo),823,Los Grobo,Parent company,,,,,,
35523,Unknown (The Australia New Zealand Forest Fund),831,Alberta Investment Management Corp (AIMCo),Parent company,,,,,,
35523,Unknown (The Australia New Zealand Forest Fund),832,The Australia New Zealand Forest Fund,Parent company,,,,,,
35534,Unknown (KTG Agrar),845,KTG Agrar,Parent company,,,,,,
35537,Unknown (Agria),848,Agria,Parent company,,,,,,
35538,Unknown (Bright Dairy and  Food Group),849,Bright Dairy and  Food Group,Parent company,,,,,,
35539,"Unknown (Ingleby, Unnamed investor 135)",851,Ingleby,Parent company,,,,,,
35539,"Unknown (Ingleby, Unnamed investor 135)",852,Unnamed investor 135,Parent company,,,,,,
35540,Unknown (Natural Dairy NZ),853,Natural Dairy NZ,Parent company,,,,,,
35540,Unknown (Natural Dairy NZ),854,Unnamed investor 136,Parent company,,,,,,
35544,Unknown (Origin),857,Origin,Parent company,,,,,,
35545,Unknown (Rolnyvik),858,Rolnyvik,Parent company,,,,,,
35545,Unknown (Rolnyvik),859,Unnamed investor 137,Parent company,,,,,,
35551,Unknown (Schroders Plc),865,Schroders Plc,Parent company,,,,,,
35552,"Unknown (Pharos Financial Group, Miro Holdings International)",1725,Pharos Financial Group,Parent company,,,,,,
35552,"Unknown (Pharos Financial Group, Miro Holdings International)",867,Miro Holdings International,Parent company,,,,,,
35556,Unknown (private investors),872,private investors,Parent company,,,,,,
35559,Nastyusha,876,Grain Company Nastyusha,Parent company,,,,,,
35562,OAO RAV Agro-Pro,3119,PPF Group N.V.,Parent company,,,,,,
35568,Tristan Fresh Produce,3120,Koeleman Foods International B.V.,Parent company,,,,,,
35570,Unknown (Unnamed investor 141),889,Unnamed investor 141,Parent company,,,,,,
35580,"""Raw-agro"" LLC",902,"JSC ""TAS Group""",Parent company,,,,,,
35587,Ukrzernoprom Agro LLC,909,MCB Agricole,Parent company,,,,,,
35613,Unknown (Gleinol),937,Gleinol,Parent company,,,,,,
35627,Unknown (Complant),953,Complant,Parent company,,,,,,
35629,Unknown (Green Waves),955,Green Waves,Parent company,,,,,,
35631,Unknown (Betexco),957,Betexco,Parent company,,,,,,
35636,Unknown (Biocarburant SA (MBSA)),964,Biocarburant SA (MBSA),Parent company,,,,,,
35645,SOSUCAM,974,Somdiaa,Parent company,,,,,,
35645,SOSUCAM,1838,Government of Cameroon,Parent company,,,,,,
35652,Plantations du Haut Penja (PHP),1453,Compagnie fruitière,Parent company,,,,,,
35655,"SG Sustainable Oils Cameroon, Ltd. (SGSOC)",2860,Herakles Capital,Parent company,,,,,,
35664,Unknown (KADCO),996,KADCO,Parent company,,,,,,
35677,"Unknown (I.D.C Investment, Unnamed investor 164)",1010,I.D.C Investment,Parent company,,,,,,
35677,"Unknown (I.D.C Investment, Unnamed investor 164)",1011,Unnamed investor 164,Parent company,,,,,,
35682,National Biodiesel Corporation,1015,Sun Biofuels,Parent company,,,,,,
35682,National Biodiesel Corporation,1017,National Biodiesel Corporation,Parent company,,,,,,
35688,Unknown (Punjab farmer association),1022,Punjab farmer association,Parent company,,,,,,
35690,Ruchi Agri Plc,2427,Ruchi Soya Industries,Parent company,,,,,,
35705,Ardent Energy Group Ethiopia,1040,Ardent Energy Group,Parent company,,,,,,
35705,Ardent Energy Group Ethiopia,2070,Praj Industries Ltd,Parent company,,,,,,
35706,Unknown (Africa Ethiopia Biomass Energy PLC),1041,Africa Ethiopia Biomass Energy PLC,Parent company,,,,,,
35707,Unknown (Unnamed investor 170),1042,Unnamed investor 170,Parent company,,,,,,
35723,Unknown (Hovev Agriculture),1058,Hovev Agriculture,Parent company,,,,,,
35725,Unknown (Yehuda Hayun),1060,Yehuda Hayun,Parent company,,,,,,
35730,Adventure Ethiopia Agriculture Development P.L.C.,1065,Adventure Ethiopia,Parent company,,,,,,
35730,Adventure Ethiopia Agriculture Development P.L.C.,1066,Unnamed investor 176,Parent company,,,,,,
35730,Adventure Ethiopia Agriculture Development P.L.C.,1067,Unnamed investor 177,Parent company,,,,,,
35731,"Unknown (Ertale Bio Diesel PLC, Unnamed investor 178)",1068,Ertale Bio Diesel PLC,Parent company,,,,,,
35731,"Unknown (Ertale Bio Diesel PLC, Unnamed investor 178)",1069,Unnamed investor 178,Parent company,,,,,,
35735,"Unknown (African Climate Exchange PLC, Unnamed investor 183)",1077,African Climate Exchange PLC,Parent company,,,,,,
35735,"Unknown (African Climate Exchange PLC, Unnamed investor 183)",1078,Unnamed investor 183,Parent company,,,,,,
35736,"Unknown (J.M.B.O Biofuel Production, Unnamed investor 184)",1079,J.M.B.O Biofuel Production,Parent company,,,,,,
35738,Morrell Agro Industries,1083,Morrell Agro Industries PLC,Parent company,,,,,,
35739,"Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188)",1085,A.B.S.A Biofuels PLC,Parent company,,,,,,
35739,"Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188)",1086,Unnamed investor 187,Parent company,,,,,,
35739,"Unknown (A.B.S.A Biofuels PLC, Unnamed investor 187, Unnamed investor 188)",1087,Unnamed investor 188,Parent company,,,,,,
35742,"Unknown (F.E.P.E Amero Bio-Oil, Unnamed investor 192)",1093,F.E.P.E Amero Bio-Oil,Parent company,,,,,,
35743,Whitefield Cotton Farm Plc,2602,Sara Cotton Fibers Ltd,Parent company,,,,,,
35752,Unknown (Chadha Agro Plc),1104,Chadha Agro Plc,Parent company,,,,,,
35754,Unknown (Elva NederlandLtd ),1106,Elva NederlandLtd,Parent company,,,,,,
35759,Unknown (Galten Global Alternative Energy),1111,Galten Global Alternative Energy,Parent company,,,,,,
35764,Unknown (J. García-Carrión),1118,J. García-Carrión,Parent company,,,,,,
35769,"Unknown (Jatropha Africa, Unnamed investor 193)",1124,Jatropha Africa,Parent company,,,,,,
35769,"Unknown (Jatropha Africa, Unnamed investor 193)",1125,Ohene Akoto,Parent company,,,,,,
35780,Mozbife,1139,Agriterra Ltd,Parent company,,,,,,
35788,Unknown (Qatari Government),1147,Qatari Government,Parent company,,,,,,
35791,Unknown (Bioenergy International),1150,Bioenergy International,Parent company,,,,,,
35799,Firestone Liberia Inc,2132,Bridgestone Corporation,Parent company,,,,,,
35802,Unknown (Unnamed investor 201),1162,Unnamed investor 201,Parent company,,,,,,
35807,Unknown (TEA (Tiris Euro Arab)),1166,TEA (Tiris Euro Arab),Parent company,,,,,,
35810,SMCTR Société Malgache de Collecte et de Transformation de la Résine,1171,DRT,Parent company,,,,,,
35813,Unknown (ER Company),1174,ER Company,Parent company,,,,,,
35814,Unknown (ERS),1175,ERS,Parent company,,,,,,
35817,Unknown (Global Agro-Fuel),1178,Global Agro-Fuel,Parent company,,,,,,
35818,Unknown (International bank for Reconstruction and Development),1999,Government of Madagascar,Parent company,,,,,,
35819,Unknown (J and J),1180,J and J,Parent company,,,,,,
35820,Unknown (J Oils),1181,J-Oil,Parent company,,,,,,
35821,JatroGreen S.A.R.L.,1182,Jatro Solutions,Parent company,,,,,,
35821,JatroGreen S.A.R.L.,1183,GreenIsland Madagascar,Parent company,,,,,,
35822,Platinum Madagascar SARL,2000,GEXSI,Parent company,,,,,,
35822,Platinum Madagascar SARL,2001,Futuro Forestal,Parent company,,,,,,
35824,Unknown (Landmark),1187,Landmark,Parent company,,,,,,
35831,Unknown (Montevede),1195,Monteverde,Parent company,,,,,,
35833,Unknown (NOTS),1197,NOTS Renewable Energy BV,Parent company,,,,,,
35835,Unknown (Osho Group),1199,Osho Group,Parent company,,,,,,
35839,Unknown (Soabe),1203,Soabe,Parent company,,,,,,
35846,Unknown (Unitech),1212,Unitech,Parent company,,,,,,
35847,Unknown (Vaudo),1213,Vaudo,Parent company,,,,,,
35848,Unknown (Weichu Madagascar Agricultural Development Company),1214,Weichu Madagascar Agricultural Development Company,Parent company,,,,,,
35849,Unknown (Magnard),1215,Magnard,Parent company,,,,,,
35855,Unknown (Assil Meroueh),1221,Assil Meroueh,Parent company,,,,,,
35856,Unknown (Soudan Fayez),1222,Soudan Fayez,Parent company,,,,,,
35857,Mali Folkcenter,2448,Danish Folkecenter for Renewable Energy,Parent company,,,,,,
35860,Unknown (CEN_SAD (Community of Sahel-Saheriens)),1227,CEN_SAD (Community of Sahel-Saheriens),Parent company,,,,,,
35864,PETROTECH – ffn AGRO MALI SA,1232,PetrOtech-ffn,Parent company,,,,,,
35865,Unknown (Millenium Challenge Corporation),1234,Millenium Challenge Corporation,Parent company,,,,,,
35866,Unknown (Southern Global Inc.),1235,Southern Global Inc.,Parent company,,,,,,
35876,Unknown (Unnamed investor 216),1244,Unnamed investor 216,Parent company,,,,,,
35882,Unknown (Co-Enterprise),1251,Co-Enterprise,Parent company,,,,,,
35888,Unknown (CAMEX),1260,CAMEX,Parent company,,,,,,
35890,SOCOGEM,1239,Groupe Tomota,Parent company,,,,,,
35891,3M,2774,société Moulin moderne du Mali (3M),Parent company,,,,,,
35894,Unknown (C3 Biodiesel),1265,C3 Biodiesel,Parent company,,,,,,
35900,Grupo Madal,1273,Rift Valley Corporation,Parent company,,,,,,
35902,Unknown (Geralco),1275,Geralco,Parent company,,,,,,
35906,"Unknown (Government, Petromoc)",1684,Petromoc,Parent company,,,,,,
35906,"Unknown (Government, Petromoc)",2093,Government of Mozambique,Parent company,,,,,,
35909,SAB Mozambique/Inveragro,1285,Gruppo Api,Parent company,,,,,,
35909,SAB Mozambique/Inveragro,1286,Gruppo Industriale Maccaferri,Parent company,,,,,,
35912,MocamGalp,1290,Galp Energia,Parent company,,,,,,
35912,MocamGalp,1325,"Companhia do Buzi, SARL",Parent company,,,,,,
35913,Enerterra,1291,SGC Energia,Parent company,,,,,,
35917,Niqel Lda,1295,Dutch Jatropha Consortium,Parent company,,,,,,
35924,Unknown (Sabie Game Park),1304,Sabie Game Park,Parent company,,,,,,
35925,"Indùstrias Florestais de Manica, SARL",1305,Komatiland Forests,Parent company,,,,,,
35925,"Indùstrias Florestais de Manica, SARL",2093,Government of Mozambique,Parent company,,,,,,
35927,Unknown (SAPPI),1307,SAPPI,Parent company,,,,,,
35928,"Unknown (SAP-Sociedade Agropecuaria, SARL)",1308,"SAP-Sociedade Agropecuaria, SARL",Parent company,,,,,,
35929,Unknown (Manuel B. Medeiros),1309,Manuel B. Medeiros,Parent company,,,,,,
35931,Unknown (NTC),1311,NTC,Parent company,,,,,,
35932,"Unknown (Gestor, Lda)",1312,"Gestor, Lda",Parent company,,,,,,
35933,Unknown (Isabel M. F. Lopes e A. Lopes (Herdeiros)),1313,Isabel M. F. Lopes e A. Lopes (Herdeiros),Parent company,,,,,,
35934,Unknown (Zefanias E. Oguane),1314,Zefanias E. Oguane,Parent company,,,,,,
35935,Unknown (Agostinho F. Lissane),1315,Agostinho F. Lissane,Parent company,,,,,,
35937,Unknown (Miguel João Mondlane),1317,Miguel João Mondlane,Parent company,,,,,,
35938,Unknown (Francisco J. Gonçalves),1318,Francisco J. Gonçalves,Parent company,,,,,,
35939,Unknown (Juma Juma F. Ussene),1319,Juma Juma F. Ussene,Parent company,,,,,,
35940,Unknown (Ofelia Jose Mausse),1320,Ofelia Jose Mausse,Parent company,,,,,,
35941,Unknown (Omar Cassamo),1321,Omar Cassamo,Parent company,,,,,,
35943,Unknown (Justino M. Novela),1323,Justino M. Novela,Parent company,,,,,,
35944,Unknown (Azevedo Suege),1324,Azevedo Suege,Parent company,,,,,,
35946,"Unknown (Sociedade Dambaera Safaris, Lda)",1326,"Sociedade Dambaera Safaris, Lda",Parent company,,,,,,
35947,"Unknown (Moby Agro, Lda)",1327,"Moby Agro, Lda",Parent company,,,,,,
35949,Unknown (Maria F. de R. Rohomodja),1329,Maria F. de R. Rohomodja,Parent company,,,,,,
35950,Unknown (EAM (Empreendimentos Agrarios de Moçambique)),1330,EAM (Empreendimentos Agrarios de Moçambique),Parent company,,,,,,
35951,Unknown (Jose Pinto Matavel),1331,Jose Pinto Matavel,Parent company,,,,,,
35952,Unknown (Raimundo Uahala),1332,Raimundo Uahala,Parent company,,,,,,
35954,Unknown (Companhia Agricola de Muroa),1334,Companhia Agricola de Muroa,Parent company,,,,,,
35959,"Unknown (Versus Moçambique, Lda)",1339,"Versus Moçambique, Lda",Parent company,,,,,,
35962,"Unknown (Neotech, Lda)",1342,"Neotech, Lda",Parent company,,,,,,
35963,"Unknown (Sociedade Muangaza Safaris, Lda.)",1343,"Sociedade Muangaza Safaris, Lda.",Parent company,,,,,,
35964,Unknown (Hunters Mozambique Lda),1344,Hunters Mozambique Lda,Parent company,,,,,,
35966,Unknown (Luis Antonio Mondlane),1346,Luis Antonio Mondlane,Parent company,,,,,,
35973,Unknown (Unnamed investor 227),2239,Government of Djibouti,Parent company,,,,,,
35990,Unknown (Unnamed investor 233),1374,Unnamed investor 233,Parent company,,,,,,
35990,Unknown (Unnamed investor 233),1796,Edo State Government,Parent company,,,,,,
35994,Compagnie Hévéicole de Cavally (CHC),1378,Siat,Parent company,,,,,,
35998,Unknown (Global Biofuels Limited),3179,NeGSt Global Integrated Co. Ltd,Parent company,,,,,,
36000,Unknown (African Chicken Farm LTD),1803,Kwara State Government,Parent company,,,,,,
36000,Unknown (African Chicken Farm LTD),1384,African Chicken Farm LTD,Parent company,,,,,,
36001,Unknown (Lix Konti Ranch & Industries Ltd),1385,Lix Konti Ranch & Industries Ltd,Parent company,,,,,,
36002,Unknown (Kwara Greens Ltd),1386,Kwara Greens Ltd,Parent company,,,,,,
36003,Unknown (Jatropha Farmers Development Foundation),3171,Jatropha Farmers Development Foundation,Parent company,,,,,,
36004,Kwara Casplex Limited,1388,Casplex Ltd.,Parent company,,,,,,
36005,Unknown (Jan-Kasal Company),1389,Jan-Kasal Company,Parent company,,,,,,
36006,Unknown (ZJS International Company),3174,ZJS International Company,Parent company,,,,,,
36008,Unknown (Tunslaq Nig. Ltd),3173,Tunslaq Nigeria Limited,Parent company,,,,,,
36009,Unknown (Dana Foods Ltd),1393,Dana Foods Ltd,Parent company,,,,,,
36010,Unknown (Future Energy Ltd.),1394,Future Energy Ltd.,Parent company,,,,,,
36011,Unknown (EnviroFriendly Energy Ltd),1395,EnviroFriendly Energy Ltd,Parent company,,,,,,
36015,Unknown (Vietnam Africa Agricultural Development Company),1399,Vietnam Africa Agricultural Development Company,Parent company,,,,,,
36017,Unknown (Viscount Energy),1401,Viscount Energy,Parent company,,,,,,
36021,Rwanda Biofuels Ltd.,2244,Eco-Fuel Global,Parent company,,,,,,
36021,Rwanda Biofuels Ltd.,2245,Eco-Positive Ltd,Parent company,,,,,,
36022,Unknown (Canadian Economic Development Assistance for Southern Sudan (CEDASS)),1407,Canadian Economic Development Assistance for Southern Sudan (CEDASS),Parent company,,,,,,
36025,Unknown (Hail Agricultural Development Company (HADCO)),1411,Hail Agricultural Development Company (HADCO),Parent company,,,,,,
36026,Unknown (Jenat),1412,Jenat,Parent company,,,,,,
36032,Unknown (Al Ain National Wildlife),1419,Al Ain National Wildlife,Parent company,,,,,,
36040,Unknown (Prince Budr Bin Sultan),1430,Prince Budr Bin Sultan,Parent company,,,,,,
36042,"Unknown (Aweil Rice Scheme (donor funding from EU, GTZ implements))",1914,Ministry of Agriculture Northern Bahr-el-Ghazal State,Parent company,,,,,,
36043,Unknown (Egyptian Irrigation Scheme),891,Government of Egypt,Parent company,,,,,,
36044,Unknown (Fenno Caledonian),1435,Fenno Caledonian,Parent company,,,,,,
36045,Unknown (Yen Thumb Group),1436,Yen Thumb Group,Parent company,,,,,,
36046,Eastern Equatorial State Ministry of Wildlife,1437,EES Ministry of Wildlife,Parent company,,,,,,
36047,Unknown (M.A.J Foundation),1438,M.A.J Foundation,Parent company,,,,,,
36048,"Unknown (African Commericial Development (ACD), Joint Aid Management (JAM))",1439,Joint Aid Management (JAM),Parent company,,,,,,
36048,"Unknown (African Commericial Development (ACD), Joint Aid Management (JAM))",1440,African Commericial Development (ACD),Parent company,,,,,,
36050,Equatoria Teak Company,1916,Maris Capital,Parent company,,,,,,
36051,Unknown (Blue Lakes Limited),1444,Blue Lakes Limited,Parent company,,,,,,
36052,Mukaya Payam Cooperative,1445,Nile Trading & Development,Parent company,,,,,,
36052,Mukaya Payam Cooperative,1919,Mukaya Payam Cooperative,Parent company,,,,,,
36053,Unknown (DATONG Enterprises),1447,DATONG Enterprises,Parent company,,,,,,
36054,Unknown (Dangote Industries),1448,Dangote Industries,Parent company,,,,,,
36055,Unknown (AgroAfrica AS),1449,AgroAfrica AS,Parent company,,,,,,
36062,Mozdahir Energies,2441,Mozdahir,Parent company,,,,,,
36070,"Unknown (Asiyla Gum Company, Unnamed investor 249)",1464,Asiyla Gum Company,Parent company,,,,,,
36070,"Unknown (Asiyla Gum Company, Unnamed investor 249)",1465,Unnamed investor 249,Parent company,,,,,,
36075,Unknown (Bioking),1470,Bioking,Parent company,,,,,,
36080,Unknown (Ecotech Timber Corporation),1475,Ecotech Timber Corporation,Parent company,,,,,,
36082,Unknown (SLGreen Oil Corporation),1477,SLGreen Oil Corporation,Parent company,,,,,,
36083,Unknown (Sierra Gold Corporation),1478,Sierra Gold Corporation,Parent company,,,,,,
36091,USA Distillers Pty Ltd,1488,USA Distillers,Parent company,,,,,,
36096,Kilombero Plantations Ltd.,1493,Agrica,Parent company,,,,,,
36096,Kilombero Plantations Ltd.,1494,Rufiji Basin Development Authority (RUBADA),Parent company,,,,,,
36104,Unknown (Ortello Business Corporation),1502,Ortello Business Corporation,Parent company,,,,,,
36106,Unknown (Yes Bank (on behalf of clients in the food production industry)),1504,Yes Bank (on behalf of clients in the food production industry),Parent company,,,,,,
36108,Unknown (Korea Rural Community Corporation (KRC)),1494,Rufiji Basin Development Authority (RUBADA),Parent company,,,,,,
36108,Unknown (Korea Rural Community Corporation (KRC)),1506,Korea Rural Community Crop (KRC),Parent company,,,,,,
36114,Unknown (Thomson Safari),1513,Thomson Safari,Parent company,,,,,,
36116,Unknown (African Green Oils),3178,African Green Oils,Parent company,,,,,,
36121,Kilimanjaro aloe vera  plantation Ltd.,2707,Kilimanjaro aloe vera  plantation Ltd (British),Parent company,,,,,,
36133,Mtibwa Sugar Estate Ltd,1535,Super Group of Companies Ltd.,Parent company,,,,,,
36151,Unknown (Holland Dairies),1554,K.I. Samen B.V.,Parent company,,,,,,
36151,Unknown (Holland Dairies),1555,Holland Dairies,Parent company,,,,,,
36151,Unknown (Holland Dairies),2590,Tanga Dairies Cooperative Union,Parent company,,,,,,
36151,Unknown (Holland Dairies),2591,Katani Ltd.,Parent company,,,,,,
36152,"Unknown (Government, Unnamed investor 265)",1556,Unnamed investor 265,Parent company,,,,,,
36152,"Unknown (Government, Unnamed investor 265)",891,Government of Egypt,Parent company,,,,,,
36153,Unknown (Egyptian Agricultural Ministry),1557,Egyptian Agricultural Ministry,Parent company,,,,,,
36157,Unknown (Unnamed investor 268),1561,Unnamed investor 268,Parent company,,,,,,
36164,Unknown (Forests Absorbing Carbon-dioxide Emissions),1568,Forests Absorbing Carbon-dioxide Emissions,Parent company,,,,,,
36181,Unknown (La région de Bruxelles la Capitale),1583,La région de Bruxelles la Capitale,Parent company,,,,,,
36182,Mayumbe SCAM,1584,Groupe Blattner Elwyn,Parent company,,,,,,
36197,Unknown (Unnamed investor 284),1600,Unnamed investor 284,Parent company,,,,,,
36203,Unknown (AG-Zam),1606,AG-Zam,Parent company,,,,,,
36219,Unknown (Vatukoula Gold Mines ( Before called River Diamonds PLC)),1623,Vatukoula Gold Mines ( Before called River Diamonds PLC),Parent company,,,,,,
36245,Unknown (President Obasanjo),1648,President Obasanjo,Parent company,,,,,,
36269,Unknown (Delta Petroli),1672,Delta Petroli,Parent company,,,,,,
36276,Unknown (Communauté economique des etats de l'Africa de l'Ouest (CEDEAO)),1680,Communauté economique des etats de l'Africa de l'Ouest (CEDEAO),Parent company,,,,,,
36283,"Unknown (Mauritius Ministry of Agro Industry, VitaGrain)",1687,Mauritius Ministry of Agro Industry,Parent company,,,,,,
36283,"Unknown (Mauritius Ministry of Agro Industry, VitaGrain)",1500,VitaGrain,Parent company,,,,,,
36292,Unknown (Unnamed investor 304),1697,Unnamed investor 304,Parent company,,,,,,
36303,Unknown (Sayegh Group),1709,Sayegh Group,Parent company,,,,,,
36308,Unknown (Zayed al Khair),1714,Zayed al Khair,Parent company,,,,,,
36321,Unknown (Biopalm Energy Limited),1729,Biopalm Energy Limited,Parent company,,,,,,
36322,Unknown (Fundação Malonda),1341,Fundação Malonda,Parent company,,,,,,
36325,Unknown (Moçambique Safaris),1732,Moçambique Safaris,Parent company,,,,,,
36326,Unknown (Aderito Augusto Parra),1733,Aderito Augusto Parra,Parent company,,,,,,
36330,Unknown (Gaza Safaris Lda),1736,Gaza Safaris Lda,Parent company,,,,,,
36332,"Unknown (Chicualacuala Agri-Farms, Limitada)",1738,"Chicualacuala Agri-Farms, Limitada",Parent company,,,,,,
36336,Unknown (Sociedade Agro Pec. Mapulangue Sarl),1742,Sociedade Agro Pec. Mapulangue Sarl,Parent company,,,,,,
36341,Unknown (Bonafarm Group),1746,Bonafarm Group,Parent company,,,,,,
36342,Zambia Sugar Plc,1225,Illovo Sugar Ltd,Parent company,,,,,,
36343,Unknown (Sepahan Afrique),1748,Sepahan Afrique,Parent company,,,,,,
36346,"Unknown (Grynberg Petroleum, MOST Ethanol Co)",1753,Grynberg Petroleum,Parent company,,,,,,
36350,Win-Agri Sierra Leone,2447,Windcliffe,Parent company,,,,,,
36353,Tree Farms Sudan Ltd,1293,Green Resources AS,Parent company,,,,,,
36356,Macs-in-Moz,1765,Amorentia Estate,Parent company,,,,,,
36361,Unknown (Nasseria Investments),1770,Nasseria Investments,Parent company,,,,,,
36364,Episteme Mozambique Lda,1773,Baobab Resources,Parent company,,,,,,
36364,Episteme Mozambique Lda,2289,Episteme Partners (Pty),Parent company,,,,,,
36365,Southern African Oils,1774,Sogein,Parent company,,,,,,
36369,Unknown (Rizhao Sunway International),1778,Rizhao Sunway International,Parent company,,,,,,
36370,Rei do Agro Limitada,1779,Aslan Global Management,Parent company,,,,,,
36373,Unknown (G-group),1782,G-group,Parent company,,,,,,
36401,Eco-Energy Vietnam,1826,Eco-Carbone,Parent company,,,,,,
36403,Okitipupa Oil Palm Plc,1820,Ondo State Government,Parent company,,,,,,
36403,Okitipupa Oil Palm Plc,1828,Estaport Farms Ltd,Parent company,,,,,,
36424,Chulumenda,1849,Denbia,Parent company,,,,,,
36434,SAFACAM,168,Bolloré Group,Parent company,,,,,,
36434,SAFACAM,1838,Government of Cameroon,Parent company,,,,,,
36434,SAFACAM,1861,Societe Financiere des Terres Rouges,Parent company,,,,,,
36434,SAFACAM,1862,Cie des Caoutchoucs de Padang,Parent company,,,,,,
36435,Unknown (Nitol-Niloy Group),1863,Nitol-Niloy Group,Parent company,,,,,,
36438,Kibimba Rice Company,1866,Tilda Rice Company,Parent company,,,,,,
36443,Unknown (Bhati Bangla Agrotec),1875,Bhati Bangla Agrotec,Parent company,,,,,,
36444,Unknown (Fuel Ethanol and Agricultural Plantation),1876,Fuel Ethanol and Agricultural Plantation,Parent company,,,,,,
36446,Hargy Oil Palms Ltd,1878,Société Internationale de Plantations et de Finance (Sipef Group),Parent company,,,,,,
36447,Ramu Agri Industries Ltd (RAIL),1879,New Britain Palm Oil Ltd (NBPOL),Parent company,,,,,,
36448,Changhae Tapioka,1880,Changhae International,Parent company,,,,,,
36451,Unknown (Piet Kemp),1882,Piet Kemp,Parent company,,,,,,
36455,Unknown (Blue Sky Uranium Corp),1889,Blue Sky Uranium Corp,Parent company,,,,,,
36456,Cosmo Oil Co. Ltd.,1890,Cosmo Oil Group,Parent company,,,,,,
36470,Unknown (Metallurgical Corporation of China Limited),1906,Metallurgical Corporation of China Limited,Parent company,,,,,,
36484,"Unknown (Government Finance Ministry, Qatar Investment Authority (QIA))",308,Qatar Investment Authority (QIA),Parent company,,,,,,
36484,"Unknown (Government Finance Ministry, Qatar Investment Authority (QIA))",1925,Government of Indonesia,Parent company,,,,,,
36509,Unknown (Societe Djiboutienne de Securite Alimentaire),1954,Societe Djiboutienne de Securite Alimentaire,Parent company,,,,,,
36515,Unknown (Cevital),1960,Cevital,Parent company,,,,,,
36516,Plantation J. Eglin SA,1961,SIPEF,Parent company,,,,,,
36547,Koulikoro Biocarburant SA,1249,Dutch Developer,Parent company,,,,,,
36547,Koulikoro Biocarburant SA,1996,Koninklijk Instituut voor de Tropen (KIT),Parent company,,,,,,
36547,Koulikoro Biocarburant SA,1997,Union of jatropha producers' cooperative in Koulikoro,Parent company,,,,,,
36550,Tozzi Green,1210,Tozzi Renewable Energy,Parent company,,,,,,
36559,Namibia Agriculture and Renewables (NAR),2023,Caparo Group,Parent company,,,,,,
36560,"Unknown (SODHAI, Unnamed investor 153)",979,Unnamed investor 153,Parent company,,,,,,
36560,"Unknown (SODHAI, Unnamed investor 153)",2024,SODHAI,Parent company,,,,,,
36562,Unknown (J Bet),2026,J Bet,Parent company,,,,,,
36565,Unknown (And-Net International Trading Company),2027,And-Net International Trading Company,Parent company,,,,,,
36569,Unknown (Gashaw Tahir),2032,Gashaw Tahir,Parent company,,,,,,
36571,Unknown (H.I.M Institute of Higher Studies and Agro Industry PLC),2035,H.I.M Institute of Higher Studies and Agro Industry PLC,Parent company,,,,,,
36572,Sino Lao Aluminum Company Limited (Slaco),2037,Lao Services Co. Ltd,Parent company,,,,,,
36572,Sino Lao Aluminum Company Limited (Slaco),3004,Aluminum Corporation of China (CHINALCO),Parent company,,,,,,
36572,Sino Lao Aluminum Company Limited (Slaco),3144,Ruouy Chai International Group,Parent company,,,,,,
36572,Sino Lao Aluminum Company Limited (Slaco),2036,Italian-Thai Public Company Limited,Parent company,,,,,,
36574,Unknown (Lesa PLC),2040,Lesa PLC,Parent company,,,,,,
36575,Unknown (Mima Holding GmbH),2041,Mima Holding GmbH,Parent company,,,,,,
36576,Unknown (Mulatu Ferede),2042,Mulatu Ferede,Parent company,,,,,,
36577,Unknown (Ozyak Oskodans Plc),2043,Ozyak Oskodans Plc,Parent company,,,,,,
36577,Unknown (Ozyak Oskodans Plc),2613,Unknown (#158835),Parent company,,,,,,
36578,Unknown (Picollo Renato),2044,Picollo Renato,Parent company,,,,,,
