Number,Item Group Code,Item Group,Category,Source,Crop category,Uses,Comment,Item Code,Item,Categorized?,Review,Factor,HS Code,HS07 Code,HS12 Code,CPC Code,Origin of data
1,1882,"Agricult.Products,Total",Non-food,Agave,Other crops,,,800,Agave fibres nes,Yes,,1,,530500,530500,1929.06,"From ""item group"" in trade definitions"
2,1882,"Agricult.Products,Total",Fodder,Alfalfa,Other crops,,,862,Alfalfa meal and pellets,Yes,,1,,121410,121410,23320,"From ""item group"" in trade definitions"
3,1882,"Agricult.Products,Total",Nuts,Almonds,Other crops,,,231,Almonds shelled,Yes,,1,,80212,80212,21422,"From ""item group"" in trade definitions"
4,1882,"Agricult.Products,Total",Nuts,Almonds,Other crops,,,221,"Almonds, with shell",Yes,,1,,80211,80211,1371,"From ""item group"" in trade definitions"
5,1882,"Agricult.Products,Total",Animals,Animals live nes,Non crops,,,1171,Animals live nes,No,,1,,"010611, 010612, 010619, 010620, 010639, 010690","010611, 010612, 010619, 010620, 010633, 010649",2199.2,"From ""item group"" in trade definitions"
6,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,"Anise, badian, fennel, coriander",Other crops,,,711,"Anise, badian, fennel, coriander",Yes,,1,,"090910, 090920, 090930, 090940, 090950","090921, 090922, 090931, 090932, 090961, 090962",1654,"From ""item group"" in trade definitions"
7,1882,"Agricult.Products,Total",Fruits,Apples,Other crops,,,515,Apples,Yes,,1,,80810,80810,1341,"From ""item group"" in trade definitions"
8,1882,"Agricult.Products,Total",Fruits,Apricots,Other crops,,,526,Apricots,Yes,,1,,80910,80910,1343,"From ""item group"" in trade definitions"
9,1882,"Agricult.Products,Total",Fruits,Apricots,Other crops,,,527,"Apricots, dry",Yes,,1,,81310,81310,21419.01,"From ""item group"" in trade definitions"
10,1882,"Agricult.Products,Total",Nuts,Areca nuts,Other crops,,,226,Areca nuts,Yes,,1,,80290,80280,1379.01,"From ""item group"" in trade definitions"
11,1882,"Agricult.Products,Total",Vegetables,Artichokes,Other crops,,,366,Artichokes,Yes,,1,,70990,70991,1216,"From ""item group"" in trade definitions"
12,1882,"Agricult.Products,Total",Vegetables,Asparagus,Other crops,,,367,Asparagus,Yes,,1,,70920,70920,1211,"From ""item group"" in trade definitions"
13,1882,"Agricult.Products,Total",Animals,Asses,Non crops,,,1107,Asses,No,,1,,"010110, 010190",10130,2132,"From ""item group"" in trade definitions"
14,1882,"Agricult.Products,Total",Vegetables,Avocados,Other crops,,,572,Avocados,Yes,,1,,80440,80440,1311,"From ""item group"" in trade definitions"
15,1882,"Agricult.Products,Total",Meat,Bacon and ham,Non crops,,,1039,Bacon and ham,No,,1,,"021011, 021012, 021019","021011, 021012, 021019",21181,"From ""item group"" in trade definitions"
16,1882,"Agricult.Products,Total",Fodder,Sugar cane,Flex crops,,,170,Bagasse,Yes,,1,,230320,230320,39140.02,"From ""item group"" in trade definitions"
17,1882,"Agricult.Products,Total",Pulses,Bambara beans,Other crops,,,203,Bambara beans,Yes,,1,,71339,71334,1708,"From ""item group"" in trade definitions"
18,1882,"Agricult.Products,Total",Fruits,Bananas,Commodity crops,,,486,Bananas,Yes,,1,,80300,80390,1312,"From ""item group"" in trade definitions"
19,1882,"Agricult.Products,Total",Cereals,Barley,Commodity crops,,,44,Barley,Yes,,1,,100300,"100310, 100390",115,"From ""item group"" in trade definitions"
20,1882,"Agricult.Products,Total",Cereals,Barley,Commodity crops,,,46,"Barley, pearled",Yes,,1,,"110419, 110429","110419, 110429",23140.05,"From ""item group"" in trade definitions"
21,1882,"Agricult.Products,Total",Cereals,Barley,Commodity crops,,,45,"Barley, pot",Yes,,1,,110429,110429,23140.04,"From ""item group"" in trade definitions"
22,1882,"Agricult.Products,Total",Non-food,"Bastfibres, other",Other crops,,,782,"Bastfibres, other",No,,1,,"530310, 530390","530310, 530390",1922.02,"From ""item group"" in trade definitions"
23,1882,"Agricult.Products,Total",Pulses,Beans,Other crops,,,176,"Beans, dry",Yes,,1,,"071331, 071332, 071333, 071339","071331, 071332, 071333, 071339",1701,"From ""item group"" in trade definitions"
24,1882,"Agricult.Products,Total",Pulses,Beans,Other crops,,,414,"Beans, green",Yes,,1,,70820,70820,1241.9,"From ""item group"" in trade definitions"
25,1882,"Agricult.Products,Total",Miscellaneous,Beehives,Non crops,,,1181,Beehives,No,,1,,10690,10641,2196,"From ""item group"" in trade definitions"
26,1882,"Agricult.Products,Total",Alcohol+Tobacco,Barley,Commodity crops,,,51,Beer of barley,Yes,,1,,220300,220300,24310.01,"From ""item group"" in trade definitions"
27,1882,"Agricult.Products,Total",Alcohol+Tobacco,Sorghum,Commodity crops,,,86,Beer of sorghum,Yes,,1,,220300,220300,24310.04,"From ""item group"" in trade definitions"
28,1882,"Agricult.Products,Total",Non-food,Beeswax,Non crops,,,1183,Beeswax,No,,1,,152190,152190,2960.01,"From ""item group"" in trade definitions"
29,1882,"Agricult.Products,Total",Fodder,Sugar beet,Other crops,,,169,Beet pulp,Yes,,1,,230320,230320,39140.01,"From ""item group"" in trade definitions"
30,1882,"Agricult.Products,Total",Fodder,Beets for fodder,Other crops,,,647,Beets for fodder,Yes,,1,,121490,121490,1919.06,"From ""item group"" in trade definitions"
31,1882,"Agricult.Products,Total",Fruits,Berries nes,Other crops,,,558,Berries nes,Yes,,1,,"081020, 081040","081020, 081040",1355.9,"From ""item group"" in trade definitions"
32,1882,"Agricult.Products,Total",Alcohol+Tobacco,"Beverages, distilled alcoholic",Other crops,,,634,"Beverages, distilled alcoholic",No,,1,,"220820, 220830, 220840, 220850, 220860, 220870, 220890","220820, 220830, 220840, 220850, 220860, 220870, 220890",2413,"From ""item group"" in trade definitions"
33,1882,"Agricult.Products,Total",Alcohol+Tobacco,"Beverages, fermented rice",Other crops,,,39,"Beverages, fermented rice",No,,1,,220600,220600,24230.02,"From ""item group"" in trade definitions"
34,1882,"Agricult.Products,Total",Beverages,"Beverages, non alcoholic",Other crops,,,633,"Beverages, non alcoholic",No,,1,,"220210, 220290","220210, 220290",24490,"From ""item group"" in trade definitions"
35,1882,"Agricult.Products,Total",Fruits,Blueberries,Other crops,,,552,Blueberries,Yes,,1,,81040,81040,1355.01,"From ""item group"" in trade definitions"
36,1882,"Agricult.Products,Total",Fodder,Barley,Commodity crops,,,47,"Bran, barley",Yes,,1,,230240,230240,39120.03,"From ""item group"" in trade definitions"
37,1882,"Agricult.Products,Total",Fodder,Buckwheat,Other crops,,,91,"Bran, buckwheat",Yes,,1,,230240,230240,39120.09,"From ""item group"" in trade definitions"
38,1882,"Agricult.Products,Total",Fodder,"Bran, cereals nes",Other crops,,,112,"Bran, cereals nes",No,,1,,230240,230240,39120.13,"From ""item group"" in trade definitions"
39,1882,"Agricult.Products,Total",Fodder,"Bran, fonio",Other crops,,,96,"Bran, fonio",No,,1,,230240,230240,39120.1,"From ""item group"" in trade definitions"
40,1882,"Agricult.Products,Total",Fodder,Maize,Flex crops,,,59,"Bran, maize",Yes,,1,,230210,230210,39120.04,"From ""item group"" in trade definitions"
41,1882,"Agricult.Products,Total",Fodder,Millet,Other crops,,,81,"Bran, millet",Yes,,1,,230240,230240,39120.07,"From ""item group"" in trade definitions"
42,1882,"Agricult.Products,Total",Fodder,"Bran, mixed grains",Other crops,,,105,"Bran, mixed grains",No,,1,,230240,230240,39120.12,"From ""item group"" in trade definitions"
43,1882,"Agricult.Products,Total",Fodder,Oats,Other crops,,,77,"Bran, oats",Yes,,1,,230240,230240,39120.06,"From ""item group"" in trade definitions"
44,1882,"Agricult.Products,Total",Fodder,"Bran, pulses",Other crops,,,213,"Bran, pulses",No,,1,,230250,230250,39120.14,"From ""item group"" in trade definitions"
45,1882,"Agricult.Products,Total",Fodder,Rice,Commodity crops,,,35,"Bran, rice",Yes,,1,,230240,230240,39120.02,"From ""item group"" in trade definitions"
46,1882,"Agricult.Products,Total",Fodder,Rye,Other crops,,,73,"Bran, rye",Yes,,1,,230240,230240,39120.05,"From ""item group"" in trade definitions"
47,1882,"Agricult.Products,Total",Fodder,Sorghum,Commodity crops,,,85,"Bran, sorghum",Yes,,1,,230240,230240,39120.08,"From ""item group"" in trade definitions"
48,1882,"Agricult.Products,Total",Fodder,Wheat,Commodity crops,,,17,"Bran, wheat",Yes,,1,,230230,230230,39120.01,"From ""item group"" in trade definitions"
49,1882,"Agricult.Products,Total",Nuts,"Brazil nuts, shelled",Other crops,,,229,"Brazil nuts, shelled",No,,1,,80122,80122,21429.01,"From ""item group"" in trade definitions"
50,1882,"Agricult.Products,Total",Nuts,"Brazil nuts, with shell",Other crops,,,216,"Brazil nuts, with shell",No,,1,,80121,80121,1377,"From ""item group"" in trade definitions"
51,1882,"Agricult.Products,Total",Cereals,Bread,Other crops,,,20,Bread,No,,1,,"190510, 190540, 190590","190510, 190540, 190590",F0020,"From ""item group"" in trade definitions"
52,1882,"Agricult.Products,Total",Pulses,"Broad beans, horse beans, dry",Other crops,,,181,"Broad beans, horse beans, dry",Yes,,1,,71350,71350,1702,"From ""item group"" in trade definitions"
53,1882,"Agricult.Products,Total",Cereals,Buckwheat,Other crops,,,89,Buckwheat,Yes,,1,,100810,100810,1192,"From ""item group"" in trade definitions"
54,1882,"Agricult.Products,Total",Animals,Buffaloes,Non crops,,,946,Buffaloes,No,,1,,"010210, 010290","010231, 010239",2112,"From ""item group"" in trade definitions"
55,1882,"Agricult.Products,Total",Cereals,Bulgur,Other crops,,,21,Bulgur,No,,1,,190430,190430,23140.02,"From ""item group"" in trade definitions"
56,1882,"Agricult.Products,Total",Dairy products+eggs,"Butter and ghee, sheep milk",Non crops,,,983,"Butter and ghee, sheep milk",No,,1,,"040510, 040520, 040590","040510, 040520, 040590",22249.01,"From ""item group"" in trade definitions"
57,1882,"Agricult.Products,Total",Vegetable oil,Butter of karite nuts,Other crops,,,264,Butter of karite nuts,No,,1,,151590,151590,21691.03,"From ""item group"" in trade definitions"
58,1882,"Agricult.Products,Total",Dairy products+eggs,"Butter, cow milk",Non crops,,,886,"Butter, cow milk",No,,1,,"040510, 040520","040510, 040520",22241.01,"From ""item group"" in trade definitions"
59,1882,"Agricult.Products,Total",Dairy products+eggs,"Buttermilk, curdled, acidified milk",Non crops,,,893,"Buttermilk, curdled, acidified milk",No,,1,,40390,40390,22230.03,"From ""item group"" in trade definitions"
60,1882,"Agricult.Products,Total",Vegetables,Cabbages and other brassicas,Other crops,,,358,Cabbages and other brassicas,No,,1,,"070420, 070490","070420, 070490",1212,"From ""item group"" in trade definitions"
61,1882,"Agricult.Products,Total",Fodder,Coconut,Commodity crops,Multiple,,253,"Cake, copra",Yes,,1,,230650,230650,21910.05,"From ""item group"" in trade definitions"
62,1882,"Agricult.Products,Total",Fodder,Cotton,Commodity crops,,,332,"Cake, cottonseed",Yes,,1,,230610,230610,21910.15,"From ""item group"" in trade definitions"
63,1882,"Agricult.Products,Total",Fodder,Groundnut,Commodity crops,,,245,"Cake, groundnuts",Yes,,1,,230500,230500,21910.04,"From ""item group"" in trade definitions"
64,1882,"Agricult.Products,Total",Fodder,"Cake, hempseed",Other crops,,,338,"Cake, hempseed",No,,1,,230690,230690,21910.17,"From ""item group"" in trade definitions"
65,1882,"Agricult.Products,Total",Fodder,"Cake, kapok",Other crops,,,314,"Cake, kapok",No,,1,,230690,230690,21910.14,"From ""item group"" in trade definitions"
66,1882,"Agricult.Products,Total",Fodder,"Cake, linseed",Other crops,,,335,"Cake, linseed",No,,1,,230620,230620,21910.16,"From ""item group"" in trade definitions"
67,1882,"Agricult.Products,Total",Fodder,Maize,Flex crops,,,61,"Cake, maize",Yes,,1,,230690,230690,21910.02,"From ""item group"" in trade definitions"
68,1882,"Agricult.Products,Total",Fodder,"Cake, mustard",Other crops,,,294,"Cake, mustard",No,,1,,230690,230690,21910.12,"From ""item group"" in trade definitions"
69,1882,"Agricult.Products,Total",Fodder,"Cake, oilseeds nes",Other crops,,,341,"Cake, oilseeds nes",No,,1,,230690,230690,21910.9,"From ""item group"" in trade definitions"
70,1882,"Agricult.Products,Total",Fodder,Oil Palm,Flex crops,,,259,"Cake, palm kernel",Yes,,1,,230660,230660,21910.06,"From ""item group"" in trade definitions"
71,1882,"Agricult.Products,Total",Fodder,Rapeseed,Commodity crops,Multiple,,272,"Cake, rapeseed",Yes,,1,,"230641, 230649","230641, 230649",21910.08,"From ""item group"" in trade definitions"
72,1882,"Agricult.Products,Total",Fodder,Rice,Commodity crops,,,37,"Cake, rice bran",Yes,,1,,230690,230690,21910.01,"From ""item group"" in trade definitions"
73,1882,"Agricult.Products,Total",Fodder,"Cake, safflower",Other crops,,,282,"Cake, safflower",No,,1,,230690,230690,21910.1,"From ""item group"" in trade definitions"
74,1882,"Agricult.Products,Total",Fodder,Sesame seed,Other crops,,,291,"Cake, sesame seed",Yes,,1,,230690,230690,21910.11,"From ""item group"" in trade definitions"
75,1882,"Agricult.Products,Total",Fodder,Soybeans,Flex crops,,,238,"Cake, soybeans",Yes,,1,,230400,230400,21910.03,"From ""item group"" in trade definitions"
76,1882,"Agricult.Products,Total",Fodder,Sunflower Seed,Commodity crops,,,269,"Cake, sunflower",Yes,,1,,230630,230630,21910.07,"From ""item group"" in trade definitions"
77,1882,"Agricult.Products,Total",Animals,"Camelids, other",Non crops,,,1157,"Camelids, other",No,,1,,10619,10613,2121.02,"From ""item group"" in trade definitions"
78,1882,"Agricult.Products,Total",Animals,Camels,Non crops,,,1126,Camels,No,,1,,10619,10613,2121.01,"From ""item group"" in trade definitions"
79,1882,"Agricult.Products,Total",Cereals,Canary seed,Other crops,,,101,Canary seed,No,,1,,100830,100830,1195,"From ""item group"" in trade definitions"
80,1882,"Agricult.Products,Total",Fodder,Cane tops,Other crops,,,630,Cane tops,No,,1,,230800,230800,39120.17,"From ""item group"" in trade definitions"
81,1882,"Agricult.Products,Total",Pulses,Carobs,Other crops,,,461,Carobs,No,,1,,121299,121292,1356,"From ""item group"" in trade definitions"
82,1882,"Agricult.Products,Total",Vegetables,Carrots and turnips,Other crops,,,426,Carrots and turnips,No,,1,,70610,70610,1251,"From ""item group"" in trade definitions"
83,1882,"Agricult.Products,Total",Nuts,Cashew,Other crops,,,230,"Cashew nuts, shelled",Yes,,1,,80132,80132,21424,"From ""item group"" in trade definitions"
84,1882,"Agricult.Products,Total",Nuts,Cashew,Other crops,,,217,"Cashew nuts, with shell",Yes,,1,,80131,80131,1372,"From ""item group"" in trade definitions"
85,1882,"Agricult.Products,Total",Fruits,Cashew,Other crops,,,591,Cashewapple,Yes,,1,,81090,81090,1359.02,"From ""item group"" in trade definitions"
86,1882,"Agricult.Products,Total",Roots and tubers,Cassava,Flex crops,,,125,Cassava,Yes,,1,,71410,71410,1520.01,"From ""item group"" in trade definitions"
87,1882,"Agricult.Products,Total",Roots and tubers,Cassava,Flex crops,,,128,Cassava dried,Yes,,1,,71410,71410,1520.02,"From ""item group"" in trade definitions"
88,1882,"Agricult.Products,Total",Oilseeds,Castor beans,Other crops,,,265,Castor oil seed,Yes,,1,,120799,120730,1447,"From ""item group"" in trade definitions"
89,1882,"Agricult.Products,Total",Animals,Cattle,Non crops,,,866,Cattle,No,,1,,"010210, 010290","010221, 010229",2111,"From ""item group"" in trade definitions"
90,1882,"Agricult.Products,Total",Vegetables,Cauliflowers and broccoli,Other crops,,,393,Cauliflowers and broccoli,No,,1,,70410,70410,1213,"From ""item group"" in trade definitions"
91,1882,"Agricult.Products,Total",Cereals,"Cereal preparations, nes",Other crops,,,113,"Cereal preparations, nes",No,,1,,"110419, 110423, 110429","110419, 110423, 110429",23140.08,"From ""item group"" in trade definitions"
92,1882,"Agricult.Products,Total",Cereals,"Cereals, breakfast",Other crops,,,41,"Cereals, breakfast",No,,1,,"190410, 190420, 190490","190410, 190420, 190490",23140.03,"From ""item group"" in trade definitions"
93,1882,"Agricult.Products,Total",Cereals,"Cereals, nes",Other crops,,,108,"Cereals, nes",No,,1,,100890,100890,1199.9,"From ""item group"" in trade definitions"
94,1882,"Agricult.Products,Total",Dairy products+eggs,Cheese of goat mlk,Non crops,,,1021,Cheese of goat mlk,No,,1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22254,"From ""item group"" in trade definitions"
95,1882,"Agricult.Products,Total",Dairy products+eggs,"Cheese, processed",Non crops,,,907,"Cheese, processed",No,,1,,"040630, 040690","040630, 040690",22251.04,"From ""item group"" in trade definitions"
96,1882,"Agricult.Products,Total",Dairy products+eggs,"Cheese, sheep milk",Non crops,,,984,"Cheese, sheep milk",No,,1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22253,"From ""item group"" in trade definitions"
97,1882,"Agricult.Products,Total",Dairy products+eggs,"Cheese, skimmed cow milk",Non crops,,,904,"Cheese, skimmed cow milk",No,,1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22251.02,"From ""item group"" in trade definitions"
98,1882,"Agricult.Products,Total",Dairy products+eggs,"Cheese, whole cow milk",Non crops,,,901,"Cheese, whole cow milk",No,,1,,"040610, 040620, 040630, 040640, 040690","040610, 040620, 040630, 040640, 040690",22251.01,"From ""item group"" in trade definitions"
99,1882,"Agricult.Products,Total",Fruits,Cherries,Other crops,,,531,Cherries,No,,1,,80920,80929,1344.02,"From ""item group"" in trade definitions"
100,1882,"Agricult.Products,Total",Fruits,"Cherries, sour",Other crops,,,530,"Cherries, sour",No,,1,,80920,80921,1344.01,"From ""item group"" in trade definitions"
101,1882,"Agricult.Products,Total",Nuts,Chestnut,Other crops,,,220,Chestnut,No,,1,,80240,"080241, 080242",1373,"From ""item group"" in trade definitions"
102,1882,"Agricult.Products,Total",Pulses,Chick peas,Other crops,,,191,Chick peas,No,,1,,71320,71320,1703,"From ""item group"" in trade definitions"
103,1882,"Agricult.Products,Total",Animals,Chickens,Non crops,,,1057,Chickens,No,,1,,"010511, 010519, 010594, 010599","010511, 010515, 010594, 010599",2151,"From ""item group"" in trade definitions"
104,1882,"Agricult.Products,Total",Roots and tubers,Chicory roots,Other crops,,,459,Chicory roots,No,,1,,121299,121294,1691,"From ""item group"" in trade definitions"
105,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,"Chillies and peppers, dry",Other crops,,,689,"Chillies and peppers, dry",No,,1,,90420,"090421, 090422",1652,"From ""item group"" in trade definitions"
106,1882,"Agricult.Products,Total",Vegetables,"Chillies and peppers, green",Other crops,,,401,"Chillies and peppers, green",No,,1,,70960,70960,1231,"From ""item group"" in trade definitions"
107,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Chocolate products nes,Other crops,,,666,Chocolate products nes,No,,1,,"180610, 180620, 180631, 180632, 180690","180610, 180620, 180631, 180632, 180690",F0666,"From ""item group"" in trade definitions"
108,1882,"Agricult.Products,Total",Alcohol+Tobacco,Cider etc,Other crops,,,517,Cider etc,No,,1,,220600,220600,24230.03,"From ""item group"" in trade definitions"
109,1882,"Agricult.Products,Total",Alcohol+Tobacco,Tobacco,Other crops,,,828,Cigarettes,Yes,,1,,"240220, 240290","240220, 240290",25020.01,"From ""item group"" in trade definitions"
110,1882,"Agricult.Products,Total",Alcohol+Tobacco,Tobacco,Other crops,,,829,"Cigars, cheroots",Yes,,1,,"240210, 240290","240210, 240290",25020.02,"From ""item group"" in trade definitions"
111,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Cinnamon (canella),Other crops,,,693,Cinnamon (canella),No,,1,,"090611, 090619, 090620","090611, 090619, 090620",1655,"From ""item group"" in trade definitions"
112,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Cloves,Other crops,,,698,Cloves,No,,1,,90700,"090710, 090720",1656,"From ""item group"" in trade definitions"
113,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Cocoa,Commodity crops,,,661,"Cocoa, beans",Yes,,1,,180100,180100,1640,"From ""item group"" in trade definitions"
114,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Cocoa,Commodity crops,,,664,"Cocoa, butter",Yes,,1,,180400,180400,23620,"From ""item group"" in trade definitions"
115,1882,"Agricult.Products,Total",Fodder,Cocoa,Commodity crops,,,663,"Cocoa, husks, shell",Yes,,1,,180200,180200,39150.02,"From ""item group"" in trade definitions"
116,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Cocoa,Commodity crops,,,662,"Cocoa, paste",Yes,,1,,180310,180310,23610.01,"From ""item group"" in trade definitions"
117,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Cocoa,Commodity crops,,,665,"Cocoa, powder & cake",Yes,,1,,"180320, 180500","180320, 180500",F0665,"From ""item group"" in trade definitions"
118,1882,"Agricult.Products,Total",Fruits,Coconut,Commodity crops,Multiple,,249,Coconuts,Yes,,1,,80119,"080112, 080119",1460,"From ""item group"" in trade definitions"
119,1882,"Agricult.Products,Total",Fruits,Coconut,Commodity crops,Multiple,,250,"Coconuts, desiccated",Yes,,1,,80111,80111,21429.07,"From ""item group"" in trade definitions"
120,1882,"Agricult.Products,Total",Non-food,"Cocoons, unreelable & waste",Other crops,,,1187,"Cocoons, unreelable & waste",No,,1,,500300,500300,39211,"From ""item group"" in trade definitions"
121,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Coffee,Commodity crops,,,659,"Coffee, extracts",Yes,,1,,"210111, 210112, 210130","210111, 210112, 210130",23912.02,"From ""item group"" in trade definitions"
122,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Coffee,Commodity crops,,,656,"Coffee, green",Yes,,1,,90111,90111,1610,"From ""item group"" in trade definitions"
123,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Coffee,Commodity crops,,,660,"Coffee, husks and skins",Yes,,1,,90190,90190,39150.01,"From ""item group"" in trade definitions"
124,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Coffee,Commodity crops,,,657,"Coffee, roasted",Yes,,1,,"090112, 090121, 090122","090112, 090121, 090122",23911,"From ""item group"" in trade definitions"
125,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Coffee,Commodity crops,,,658,"Coffee, substitutes containing coffee",Yes,,1,,90190,90190,23912.01,"From ""item group"" in trade definitions"
126,1882,"Agricult.Products,Total",Non-food,Coconut,Other crops,,,813,Coir,Yes,,1,,530500,530500,1929.08,"From ""item group"" in trade definitions"
127,1882,"Agricult.Products,Total",Oilseeds,Coconut,Commodity crops,Multiple,,251,Copra,Yes,,1,,120300,120300,1492,"From ""item group"" in trade definitions"
128,1882,"Agricult.Products,Total",Non-food,Cotton,Commodity crops,,,767,Cotton lint,Yes,,1,,520100,520100,1921.02,"From ""item group"" in trade definitions"
129,1882,"Agricult.Products,Total",Non-food,Cotton,Commodity crops,,,770,Cotton linter,Yes,,1,,140420,140420,21800,"From ""item group"" in trade definitions"
130,1882,"Agricult.Products,Total",Non-food,Cotton,Commodity crops,,,769,Cotton waste,Yes,,1,,"520210, 520291, 520299","520210, 520291, 520299",F0769,"From ""item group"" in trade definitions"
131,1882,"Agricult.Products,Total",Non-food,Cotton,Commodity crops,,,768,"Cotton, carded, combed",Yes,,1,,520300,520300,26160,"From ""item group"" in trade definitions"
132,1882,"Agricult.Products,Total",Oilseeds,Cotton,Commodity crops,,,329,Cottonseed,Yes,,1,,120720,"120721, 120729",143,"From ""item group"" in trade definitions"
133,1882,"Agricult.Products,Total",Pulses,"Cow peas, dry",Other crops,,,195,"Cow peas, dry",No,,1,,71339,71335,1706,"From ""item group"" in trade definitions"
134,1882,"Agricult.Products,Total",Fruits,Cranberries,Other crops,,,554,Cranberries,Yes,,1,,81040,81040,1355.02,"From ""item group"" in trade definitions"
135,1882,"Agricult.Products,Total",Dairy products+eggs,Cream fresh,Non crops,,,885,Cream fresh,No,,1,,"040120, 040130","040120, 040140, 040150",22120,"From ""item group"" in trade definitions"
136,1882,"Agricult.Products,Total",Miscellaneous,Crude materials,Other crops,,,1293,Crude materials,No,?,1,,"050100, 050210, 050290, 050400, 050510, 050590, 050610, 050690, 050710, 050790, 050800, 051000, 051110, 051191, 051199, 060110, 060120, 060210, 060220, 060230, 060240, 060290, 060311, 060312, 060313, 060314, 060319, 060390, 060410, 060491, 060499, 121120,","050100, 050210, 050290, 050400, 050510, 050590, 050610, 050690, 050710, 050790, 050800, 051000, 051110, 051191, 051199, 060110, 060120, 060210, 060220, 060230, 060240, 060290, 060311, 060312, 060313, 060314, 060315, 060319, 060390, 060420, 060490, 121120,",F1293,"From ""item group"" in trade definitions"
137,1882,"Agricult.Products,Total",Vegetables,Cucumbers and gherkins,Other crops,,,397,Cucumbers and gherkins,No,,1,,70700,70700,1232,"From ""item group"" in trade definitions"
138,1882,"Agricult.Products,Total",Fruits,Currants,Other crops,,,550,Currants,No,,1,,81090,81030,1351.01,"From ""item group"" in trade definitions"
139,1882,"Agricult.Products,Total",Fruits,Dates,Other crops,,,577,Dates,No,,1,,80410,80410,1314,"From ""item group"" in trade definitions"
140,1882,"Agricult.Products,Total",Fats,Degras,Non crops,,,1222,Degras,No,,1,,152200,152200,21932.01,"From ""item group"" in trade definitions"
141,1882,"Agricult.Products,Total",Fodder,"Dregs from brewing, distillation",Other crops,,,654,"Dregs from brewing, distillation",No,,1,,,,39160,"From ""item group"" in trade definitions"
142,1882,"Agricult.Products,Total",Animals,Ducks,Non crops,,,1068,Ducks,No,,1,,"010519, 010599","010513, 010599",2154,"From ""item group"" in trade definitions"
143,1882,"Agricult.Products,Total",Vegetables,Eggplants (aubergines),Other crops,,,399,Eggplants (aubergines),No,,1,,70930,70930,1233,"From ""item group"" in trade definitions"
144,1882,"Agricult.Products,Total",Dairy products+eggs,"Eggs, dried",Non crops,,,1064,"Eggs, dried",No,,1,,"040811, 040891","040811, 040891",23993.03,"From ""item group"" in trade definitions"
145,1882,"Agricult.Products,Total",Dairy products+eggs,"Eggs, hen, in shell",Non crops,,,1062,"Eggs, hen, in shell",No,,1,,40700,"040711, 040721, 040790",231,"From ""item group"" in trade definitions"
146,1882,"Agricult.Products,Total",Dairy products+eggs,"Eggs, liquid",Non crops,,,1063,"Eggs, liquid",No,,1,,"040819, 040899","040819, 040899",23993.02,"From ""item group"" in trade definitions"
147,1882,"Agricult.Products,Total",Dairy products+eggs,"Eggs, other bird, in shell",Non crops,,,1091,"Eggs, other bird, in shell",No,,1,,40700,"040719, 040729, 040790",232,"From ""item group"" in trade definitions"
148,1882,"Agricult.Products,Total",Animal oil,"Fat, camels",Non crops,,,1129,"Fat, camels",No,,1,,150600,150600,21519.02,"From ""item group"" in trade definitions"
149,1882,"Agricult.Products,Total",Animal oil,"Fat, cattle",Non crops,,,869,"Fat, cattle",No,,1,,150200,150290,21512,"From ""item group"" in trade definitions"
150,1882,"Agricult.Products,Total",Animal oil,"Fat, cattle butcher",Non crops,,,871,"Fat, cattle butcher",No,,1,,150200,150290,21512.01,"From ""item group"" in trade definitions"
151,1882,"Agricult.Products,Total",Meat,"Fat, liver prepared (foie gras)",Non crops,,,1060,"Fat, liver prepared (foie gras)",No,,1,,160220,160220,21189.02,"From ""item group"" in trade definitions"
152,1882,"Agricult.Products,Total",Fats,"Fat, nes, prepared",Non crops,,,1243,"Fat, nes, prepared",No,,1,,"151610, 151620, 151790","151610, 151620, 151790",F1243,"From ""item group"" in trade definitions"
153,1882,"Agricult.Products,Total",Animal oil,"Fat, pig butcher",Non crops,,,1040,"Fat, pig butcher",No,,1,,20900,20910,21511.02,"From ""item group"" in trade definitions"
154,1882,"Agricult.Products,Total",Animal oil,"Fat, pigs",Non crops,,,1037,"Fat, pigs",No,,1,,20900,20910,21511.01,"From ""item group"" in trade definitions"
155,1882,"Agricult.Products,Total",Animal oil,"Fat, poultry",Non crops,,,1065,"Fat, poultry",No,,1,,20900,20990,21511.03,"From ""item group"" in trade definitions"
