FCL Item code,FCL Title,Group,Scientific Name,Common Name,Definition
0773,Flax fibre and tow,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,"Broken, scutched, hackled etc. but not spun. Traditionally, FAO has used this commodity to identify production in its raw state; in reality, the primary agricultural product is the commodity 0771, which can either be used for the production of fibre or for other purposes."
0774,Flax tow and waste,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,,,Includes yarn waste and garnetted stock.
0777,Hemp fibre and tow,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Cannabis sativa,,"This plant is cultivated for seed as well as for fibre. The fibre is obtained from the stem of the plant. Trade data include raw, retted, scutched, combed fibre, tow and waste."
0778,Kapok fibre,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Ceiba pentandra,,"This plant is cultivated for seed as well as for fibre. Trade data cover only fibres that have been crushed, carded or combed for spinning."
0780,Jute,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Corchorus capsularis
Corchorus olitorius","white jute
red jute, tossa","Trade data cover raw or processed jute (but not spun), tow and waste, yarn waste and garnetted stock and may include jute-like fibres."
0782,Jute-like fibres,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Abutilon avicennae 
Urena lobata; Urena sinuata 
Abroma augusta 
Hibiscus cannabinus 
Hibiscus sabdariffa 
Crotalaria juncea","
China jute 
Congo jute, malva, paka 
Indian flax 
kenaf, meshta 
rosella hemp 
sunn hemp","This definition covers all textile fibres extracted from the stems of dicotyledonous plants, o/t flax, ramie, true hemp and true jute. For trade coverage see 0780."
0788,Ramie,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Boehmeria nivea
Boehmeria tenacissima","China grass, white ramie
rhea, green ramie",Ramie fibre is obtained from the bast of the plant. For trade coverage see 0780
0789,Sisal,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Agave sisalana,,"Sisal fibre is obtained from the leaves of the plant. It also is used as an ornamental plant. Trade data cover fibres that are raw, prepared for spinning, and tow and waste, including yarn waste and garnetted stock."
0800,Agave fibres nes,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Agave foetida 
Agave fourcroydes 
Agave lecheguilla 
Agave cantala 
Agave americana 
Agave letonae","
Haiti hemp 
henequen 
ixtle, tampico 
maguey 
pita 
Salvador hemp","See 0789. The leaves of some agave varieties are used for the production of alcoholic beverages, such as aquamiel, mezcal, pulque and tequila."
0809,Abaca manila hemp,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Musa textilis,,The fibre is obtained from stalks of certain banana trees. For trade coverage see 0789.
0813,Coir,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,Cocos nucifera,,Coir fibre is obtained from the fibrous covering of the mesocarp. For trade coverage see 0789.
